gene_claim_name	nomenclature	concept_id	gene_name	source_db_name	source_db_version
CDC42BPB	Gene Symbol	hgnc:1738	CDC42BPB	IDG	15-Jul-19
CDK19	Gene Symbol	hgnc:19338	CDK19	IDG	15-Jul-19
CDK14	Gene Symbol	hgnc:8883	CDK14	IDG	15-Jul-19
MAP3K10	Gene Symbol	hgnc:6849	MAP3K10	IDG	15-Jul-19
DYRK4	Gene Symbol	hgnc:3095	DYRK4	IDG	15-Jul-19
LMTK2	Gene Symbol	hgnc:17880	LMTK2	IDG	15-Jul-19
BCKDK	Gene Symbol	hgnc:16902	BCKDK	IDG	15-Jul-19
XK	Gene Symbol	hgnc:12811	XK	HumanProteinAtlas	19.3
XPNPEP2	Gene Symbol	hgnc:12823	XPNPEP2	HumanProteinAtlas	19.3
XYLT1	Gene Symbol	hgnc:15516	XYLT1	HumanProteinAtlas	19.3
YARS2	Gene Symbol	hgnc:24249	YARS2	HumanProteinAtlas	19.3
YME1L1	Gene Symbol	hgnc:12843	YME1L1	HumanProteinAtlas	19.3
ZDHHC9	Gene Symbol	hgnc:18475	ZDHHC9	HumanProteinAtlas	19.3
DCLK3	Gene Symbol	hgnc:19005	DCLK3	IDG	15-Jul-19
CDKL1	Gene Symbol	hgnc:1781	CDKL1	IDG	15-Jul-19
CDKL3	Gene Symbol	hgnc:15483	CDKL3	IDG	15-Jul-19
CDK10	Gene Symbol	hgnc:1770	CDK10	IDG	15-Jul-19
CAMKK1	Gene Symbol	hgnc:1469	CAMKK1	IDG	15-Jul-19
MAPK15	Gene Symbol	hgnc:24667	MAPK15	IDG	15-Jul-19
CLK3	Gene Symbol	hgnc:2071	CLK3	IDG	15-Jul-19
CDC42BPA	Gene Symbol	hgnc:1737	CDC42BPA	IDG	15-Jul-19
MAP3K15	Gene Symbol	hgnc:31689	MAP3K15	IDG	15-Jul-19
ADCK5	Gene Symbol	hgnc:21738	ADCK5	IDG	15-Jul-19
LMTK3	Gene Symbol	hgnc:19295	LMTK3	IDG	15-Jul-19
EEF2K	Gene Symbol	hgnc:24615	EEF2K	IDG	15-Jul-19
ICK	Gene Symbol	hgnc:21219	CILK1	IDG	15-Jul-19
ALPK2	Gene Symbol	hgnc:20565	ALPK2	IDG	15-Jul-19
MAP3K14	Gene Symbol	hgnc:6853	MAP3K14	IDG	15-Jul-19
LRRK1	Gene Symbol	hgnc:18608	LRRK1	IDG	15-Jul-19
CDK15	Gene Symbol	hgnc:14434	CDK15	IDG	15-Jul-19
ALPK3	Gene Symbol	hgnc:17574	ALPK3	IDG	15-Jul-19
DYRK3	Gene Symbol	hgnc:3094	DYRK3	IDG	15-Jul-19
PSKH1	Gene Symbol	hgnc:9529	PSKH1	IDG	15-Jul-19
PSKH2	Gene Symbol	hgnc:18997	PSKH2	IDG	15-Jul-19
STK40	Gene Symbol	hgnc:21373	STK40	IDG	15-Jul-19
PKMYT1	Gene Symbol	hgnc:29650	PKMYT1	IDG	15-Jul-19
NEK3	Gene Symbol	hgnc:7746	NEK3	IDG	15-Jul-19
SCYL2	Gene Symbol	hgnc:19286	SCYL2	IDG	15-Jul-19
NUAK2	Gene Symbol	hgnc:29558	NUAK2	IDG	15-Jul-19
STK32C	Gene Symbol	hgnc:21332	STK32C	IDG	15-Jul-19
PIP5K1B	Gene Symbol	hgnc:8995	PIP5K1B	IDG	15-Jul-19
SBK2	Gene Symbol	hgnc:34416	SBK2	IDG	15-Jul-19
STK36	Gene Symbol	hgnc:17209	STK36	IDG	15-Jul-19
STK32B	Gene Symbol	hgnc:14217	STK32B	IDG	15-Jul-19
RPS6KC1	Gene Symbol	hgnc:10439	RPS6KC1	IDG	15-Jul-19
RIOK3	Gene Symbol	hgnc:11451	RIOK3	IDG	15-Jul-19
PIP5K1C	Gene Symbol	hgnc:8996	PIP5K1C	IDG	15-Jul-19
MKNK2	Gene Symbol	hgnc:7111	MKNK2	IDG	15-Jul-19
MARK1	Gene Symbol	hgnc:6896	MARK1	IDG	15-Jul-19
PIP5K1A	Gene Symbol	hgnc:8994	PIP5K1A	IDG	15-Jul-19
STK19	Gene Symbol	hgnc:11398	STK19	IDG	15-Jul-19
TAOK1	Gene Symbol	hgnc:29259	TAOK1	IDG	15-Jul-19
PAN3	Gene Symbol	hgnc:29991	PAN3	IDG	15-Jul-19
PNCK	Gene Symbol	hgnc:13415	PNCK	IDG	15-Jul-19
STK33	Gene Symbol	hgnc:14568	STK33	IDG	15-Jul-19
PAK3	Gene Symbol	hgnc:8592	PAK3	IDG	15-Jul-19
PAK6	Gene Symbol	hgnc:16061	PAK6	IDG	15-Jul-19
PIK3C2G	Gene Symbol	hgnc:8973	PIK3C2G	IDG	15-Jul-19
MAST3	Gene Symbol	hgnc:19036	MAST3	IDG	15-Jul-19
STKLD1	Gene Symbol	hgnc:28669	STKLD1	IDG	15-Jul-19
NEK4	Gene Symbol	hgnc:11399	NEK4	IDG	15-Jul-19
PDIK1L	Gene Symbol	hgnc:18981	PDIK1L	IDG	15-Jul-19
SCYL3	Gene Symbol	hgnc:19285	SCYL3	IDG	15-Jul-19
PHKG2	Gene Symbol	hgnc:8931	PHKG2	IDG	15-Jul-19
STK32A	Gene Symbol	hgnc:28317	STK32A	IDG	15-Jul-19
MAST2	Gene Symbol	hgnc:19035	MAST2	IDG	15-Jul-19
TAOK2	Gene Symbol	hgnc:16835	TAOK2	IDG	15-Jul-19
MARK4	Gene Symbol	hgnc:13538	MARK4	IDG	15-Jul-19
STK17A	Gene Symbol	hgnc:11395	STK17A	IDG	15-Jul-19
MAST4	Gene Symbol	hgnc:19037	MAST4	IDG	15-Jul-19
NRK	Gene Symbol	hgnc:25391	NRK	IDG	15-Jul-19
PAK5	Gene Symbol	hgnc:15916	PAK5	IDG	15-Jul-19
PKN3	Gene Symbol	hgnc:17999	PKN3	IDG	15-Jul-19
NIM1K	Gene Symbol	hgnc:28646	NIM1K	IDG	15-Jul-19
NRBP2	Gene Symbol	hgnc:19339	NRBP2	IDG	15-Jul-19
STK31	Gene Symbol	hgnc:11407	STK31	IDG	15-Jul-19
PRKACG	Gene Symbol	hgnc:9382	PRKACG	IDG	15-Jul-19
RPS6KL1	Gene Symbol	hgnc:20222	RPS6KL1	IDG	15-Jul-19
RIOK1	Gene Symbol	hgnc:18656	RIOK1	IDG	15-Jul-19
SBK3	Gene Symbol	hgnc:44121	SBK3	IDG	15-Jul-19
GPR137	Gene Symbol	hgnc:24300	GPR137	IDG	15-Jul-19
ADGRE3	Gene Symbol	hgnc:23647	ADGRE3	IDG	15-Jul-19
GPR139	Gene Symbol	hgnc:19995	GPR139	IDG	15-Jul-19
GPR142	Gene Symbol	hgnc:20088	GPR142	IDG	15-Jul-19
GPR18	Gene Symbol	hgnc:4472	GPR18	IDG	15-Jul-19
TSSK4	Gene Symbol	hgnc:19825	TSSK4	IDG	15-Jul-19
GPR157	Gene Symbol	hgnc:23687	GPR157	IDG	15-Jul-19
WNK3	Gene Symbol	hgnc:14543	WNK3	IDG	15-Jul-19
WNK2	Gene Symbol	hgnc:14542	WNK2	IDG	15-Jul-19
GPR101	Gene Symbol	hgnc:14963	GPR101	IDG	15-Jul-19
ADGRG2	Gene Symbol	hgnc:4516	ADGRG2	IDG	15-Jul-19
GPR153	Gene Symbol	hgnc:23618	GPR153	IDG	15-Jul-19
GPR21	Gene Symbol	hgnc:4476	GPR21	IDG	15-Jul-19
ADGRB3	Gene Symbol	hgnc:945	ADGRB3	IDG	15-Jul-19
GPR174	Gene Symbol	hgnc:30245	GPR174	IDG	15-Jul-19
TP53RK	Gene Symbol	hgnc:16197	TP53RK	IDG	15-Jul-19
GNRHR2	Gene Symbol	hgnc:16341	GNRHR2	IDG	15-Jul-19
GPR20	Gene Symbol	hgnc:4475	GPR20	IDG	15-Jul-19
TBCK	Gene Symbol	hgnc:28261	TBCK	IDG	15-Jul-19
ADGRD1	Gene Symbol	hgnc:19893	ADGRD1	IDG	15-Jul-19
GPR156	Gene Symbol	hgnc:20844	GPR156	IDG	15-Jul-19
TTBK1	Gene Symbol	hgnc:19140	TTBK1	IDG	15-Jul-19
GPR19	Gene Symbol	hgnc:4473	GPR19	IDG	15-Jul-19
ADGRA2	Gene Symbol	hgnc:17849	ADGRA2	IDG	15-Jul-19
VRK3	Gene Symbol	hgnc:18996	VRK3	IDG	15-Jul-19
TTBK2	Gene Symbol	hgnc:19141	TTBK2	IDG	15-Jul-19
ADGRB2	Gene Symbol	hgnc:944	ADGRB2	IDG	15-Jul-19
ADGRG5	Gene Symbol	hgnc:19010	ADGRG5	IDG	15-Jul-19
ADGRG4	Gene Symbol	hgnc:18992	ADGRG4	IDG	15-Jul-19
GPR141	Gene Symbol	hgnc:19997	GPR141	IDG	15-Jul-19
VRK2	Gene Symbol	hgnc:12719	VRK2	IDG	15-Jul-19
GPR160	Gene Symbol	hgnc:23693	GPR160	IDG	15-Jul-19
ADGRG7	Gene Symbol	hgnc:19241	ADGRG7	IDG	15-Jul-19
ADGRB1	Gene Symbol	hgnc:943	ADGRB1	IDG	15-Jul-19
TSSK3	Gene Symbol	hgnc:15473	TSSK3	IDG	15-Jul-19
GPR12	Gene Symbol	hgnc:4466	GPR12	IDG	15-Jul-19
GPR171	Gene Symbol	hgnc:30057	GPR171	IDG	15-Jul-19
ULK4	Gene Symbol	hgnc:15784	ULK4	IDG	15-Jul-19
TESK2	Gene Symbol	hgnc:11732	TESK2	IDG	15-Jul-19
GPR146	Gene Symbol	hgnc:21718	GPR146	IDG	15-Jul-19
TSSK6	Gene Symbol	hgnc:30410	TSSK6	IDG	15-Jul-19
TSSK1B	Gene Symbol	hgnc:14968	TSSK1B	IDG	15-Jul-19
GPR135	Gene Symbol	hgnc:19991	GPR135	IDG	15-Jul-19
TSSK2	Gene Symbol	hgnc:11401	TSSK2	IDG	15-Jul-19
ADGRG3	Gene Symbol	hgnc:13728	ADGRG3	IDG	15-Jul-19
ADGRF1	Gene Symbol	hgnc:18990	ADGRF1	IDG	15-Jul-19
GPR149	Gene Symbol	hgnc:23627	GPR149	IDG	15-Jul-19
HCAR1	Gene Symbol	hgnc:4532	HCAR1	IDG	15-Jul-19
GPRC5C	Gene Symbol	hgnc:13309	GPRC5C	IDG	15-Jul-19
TAS2R42	Gene Symbol	hgnc:18888	TAS2R42	IDG	15-Jul-19
HCAR3	Gene Symbol	hgnc:16824	HCAR3	IDG	15-Jul-19
GPR65	Gene Symbol	hgnc:4517	GPR65	IDG	15-Jul-19
TAS2R40	Gene Symbol	hgnc:18885	TAS2R40	IDG	15-Jul-19
GPR3	Gene Symbol	hgnc:4484	GPR3	IDG	15-Jul-19
TAS2R4	Gene Symbol	hgnc:14911	TAS2R4	IDG	15-Jul-19
TAAR8	Gene Symbol	hgnc:14964	TAAR8	IDG	15-Jul-19
GPRC5D	Gene Symbol	hgnc:13310	GPRC5D	IDG	15-Jul-19
OXGR1	Gene Symbol	hgnc:4531	OXGR1	IDG	15-Jul-19
GPR45	Gene Symbol	hgnc:4503	GPR45	IDG	15-Jul-19
TAS2R1	Gene Symbol	hgnc:14909	TAS2R1	IDG	15-Jul-19
TAS2R3	Gene Symbol	hgnc:14910	TAS2R3	IDG	15-Jul-19
TAS2R14	Gene Symbol	hgnc:14920	TAS2R14	IDG	15-Jul-19
TAS2R39	Gene Symbol	hgnc:18886	TAS2R39	IDG	15-Jul-19
OXER1	Gene Symbol	hgnc:24884	OXER1	IDG	15-Jul-19
TAS2R46	Gene Symbol	hgnc:18877	TAS2R46	IDG	15-Jul-19
GPR62	Gene Symbol	hgnc:13301	GPR62	IDG	15-Jul-19
GPR37L1	Gene Symbol	hgnc:14923	GPR37L1	IDG	15-Jul-19
GPR88	Gene Symbol	hgnc:4539	GPR88	IDG	15-Jul-19
GPR87	Gene Symbol	hgnc:4538	GPR87	IDG	15-Jul-19
GPRC5B	Gene Symbol	hgnc:13308	GPRC5B	IDG	15-Jul-19
TAS2R19	Gene Symbol	hgnc:19108	TAS2R19	IDG	15-Jul-19
TAS2R30	Gene Symbol	hgnc:19112	TAS2R30	IDG	15-Jul-19
MRGPRF	Gene Symbol	hgnc:24828	MRGPRF	IDG	15-Jul-19
TAS2R13	Gene Symbol	hgnc:14919	TAS2R13	IDG	15-Jul-19
GPR63	Gene Symbol	hgnc:13302	GPR63	IDG	15-Jul-19
GPR6	Gene Symbol	hgnc:4515	GPR6	IDG	15-Jul-19
GPR22	Gene Symbol	hgnc:4477	GPR22	IDG	15-Jul-19
MRGPRE	Gene Symbol	hgnc:30694	MRGPRE	IDG	15-Jul-19
TAAR9	Gene Symbol	hgnc:20977	TAAR9	IDG	15-Jul-19
RXFP4	Gene Symbol	hgnc:14666	RXFP4	IDG	15-Jul-19
TAS2R10	Gene Symbol	hgnc:14918	TAS2R10	IDG	15-Jul-19
TAAR2	Gene Symbol	hgnc:4514	TAAR2	IDG	15-Jul-19
MRGPRX1	Gene Symbol	hgnc:17962	MRGPRX1	IDG	15-Jul-19
GPR25	Gene Symbol	hgnc:4480	GPR25	IDG	15-Jul-19
P2RY10	Gene Symbol	hgnc:19906	P2RY10	IDG	15-Jul-19
GPR61	Gene Symbol	hgnc:13300	GPR61	IDG	15-Jul-19
GPR34	Gene Symbol	hgnc:4490	GPR34	IDG	15-Jul-19
TAS2R43	Gene Symbol	hgnc:18875	TAS2R43	IDG	15-Jul-19
LPAR6	Gene Symbol	hgnc:15520	LPAR6	IDG	15-Jul-19
TAS2R31	Gene Symbol	hgnc:19113	TAS2R31	IDG	15-Jul-19
TAS2R20	Gene Symbol	hgnc:19109	TAS2R20	IDG	15-Jul-19
GPR4	Gene Symbol	hgnc:4497	GPR4	IDG	15-Jul-19
PROKR1	Gene Symbol	hgnc:4524	PROKR1	IDG	15-Jul-19
GPRC5A	Gene Symbol	hgnc:9836	GPRC5A	IDG	15-Jul-19
CACNA2D3	Gene Symbol	hgnc:15460	CACNA2D3	IDG	15-Jul-19
KCNAB2	Gene Symbol	hgnc:6229	KCNAB2	IDG	15-Jul-19
LRRC55	Gene Symbol	hgnc:32324	LRRC55	IDG	15-Jul-19
TAS2R9	Gene Symbol	hgnc:14917	TAS2R9	IDG	15-Jul-19
PKD2L2	Gene Symbol	hgnc:9012	PKD2L2	IDG	15-Jul-19
KCNH6	Gene Symbol	hgnc:18862	KCNH6	IDG	15-Jul-19
SCN7A	Gene Symbol	hgnc:10594	SCN7A	IDG	15-Jul-19
CACNG4	Gene Symbol	hgnc:1408	CACNG4	IDG	15-Jul-19
CACNG1	Gene Symbol	hgnc:1405	CACNG1	IDG	15-Jul-19
CHRNB1	Gene Symbol	hgnc:1961	CHRNB1	IDG	15-Jul-19
KCNG3	Gene Symbol	hgnc:18306	KCNG3	IDG	15-Jul-19
GPR89B	Gene Symbol	hgnc:13840	GPR89B	IDG	15-Jul-19
CLIC6	Gene Symbol	hgnc:2065	CLIC6	IDG	15-Jul-19
CACNG8	Gene Symbol	hgnc:13628	CACNG8	IDG	15-Jul-19
CALHM4	Gene Symbol	hgnc:21094	CALHM4	IDG	15-Jul-19
KCNA7	Gene Symbol	hgnc:6226	KCNA7	IDG	15-Jul-19
CACNG3	Gene Symbol	hgnc:1407	CACNG3	IDG	15-Jul-19
TAS2R7	Gene Symbol	hgnc:14913	TAS2R7	IDG	15-Jul-19
TMC5	Gene Symbol	hgnc:22999	TMC5	IDG	15-Jul-19
LRRC38	Gene Symbol	hgnc:27005	LRRC38	IDG	15-Jul-19
TAS2R50	Gene Symbol	hgnc:18882	TAS2R50	IDG	15-Jul-19
TMEM38B	Gene Symbol	hgnc:25535	TMEM38B	IDG	15-Jul-19
KCNS1	Gene Symbol	hgnc:6300	KCNS1	IDG	15-Jul-19
GRID1	Gene Symbol	hgnc:4575	GRID1	IDG	15-Jul-19
KCNAB3	Gene Symbol	hgnc:6230	KCNAB3	IDG	15-Jul-19
KCNJ15	Gene Symbol	hgnc:6261	KCNJ15	IDG	15-Jul-19
PKD1L2	Gene Symbol	hgnc:21715	PKD1L2	IDG	15-Jul-19
CLCC1	Gene Symbol	hgnc:29675	CLCC1	IDG	15-Jul-19
TMEM63A	Gene Symbol	hgnc:29118	TMEM63A	IDG	15-Jul-19
ASIC4	Gene Symbol	hgnc:21263	ASIC4	IDG	15-Jul-19
CALHM5	Gene Symbol	hgnc:21568	CALHM5	IDG	15-Jul-19
BEST4	Gene Symbol	hgnc:17106	BEST4	IDG	15-Jul-19
SLC26A1	Gene Symbol	hgnc:10993	SLC26A1	IDG	15-Jul-19
CACNA2D4	Gene Symbol	hgnc:20202	CACNA2D4	IDG	15-Jul-19
CHRNA10	Gene Symbol	hgnc:13800	CHRNA10	IDG	15-Jul-19
CACNG5	Gene Symbol	hgnc:1409	CACNG5	IDG	15-Jul-19
KCNK12	Gene Symbol	hgnc:6274	KCNK12	IDG	15-Jul-19
KCND1	Gene Symbol	hgnc:6237	KCND1	IDG	15-Jul-19
KCNJ18	Gene Symbol	hgnc:39080	KCNJ18	IDG	15-Jul-19
KCNH8	Gene Symbol	hgnc:18864	KCNH8	IDG	15-Jul-19
PLLP	Gene Symbol	hgnc:18553	PLLP	IDG	15-Jul-19
KCNMB3	Gene Symbol	hgnc:6287	KCNMB3	IDG	15-Jul-19
KCNK7	Gene Symbol	hgnc:6282	KCNK7	IDG	15-Jul-19
CLCA4	Gene Symbol	hgnc:2018	CLCA4	IDG	15-Jul-19
KCNN1	Gene Symbol	hgnc:6290	KCNN1	IDG	15-Jul-19
CACNG6	Gene Symbol	hgnc:13625	CACNG6	IDG	15-Jul-19
KCNG2	Gene Symbol	hgnc:6249	KCNG2	IDG	15-Jul-19
ATM	Gene Symbol	hgnc:795	ATM	MskImpact	May-15
CDK6	Gene Symbol	hgnc:1777	CDK6	MskImpact	May-15
BLM	Gene Symbol	hgnc:1058	BLM	MskImpact	May-15
ASXL1	Gene Symbol	hgnc:18318	ASXL1	MskImpact	May-15
AURKA	Gene Symbol	hgnc:11393	AURKA	MskImpact	May-15
AR	Gene Symbol	hgnc:644	AR	MskImpact	May-15
ARAF	Gene Symbol	hgnc:646	ARAF	MskImpact	May-15
CCND3	Gene Symbol	hgnc:1585	CCND3	MskImpact	May-15
CD79B	Gene Symbol	hgnc:1699	CD79B	MskImpact	May-15
CDC73	Gene Symbol	hgnc:16783	CDC73	MskImpact	May-15
ARID1B	Gene Symbol	hgnc:18040	ARID1B	MskImpact	May-15
CDK12	Gene Symbol	hgnc:24224	CDK12	MskImpact	May-15
CBL	Gene Symbol	hgnc:1541	CBL	MskImpact	May-15
CDK8	Gene Symbol	hgnc:1779	CDK8	MskImpact	May-15
BMPR1A	Gene Symbol	hgnc:1076	BMPR1A	MskImpact	May-15
CDH1	Gene Symbol	hgnc:1748	CDH1	MskImpact	May-15
CCNE1	Gene Symbol	hgnc:1589	CCNE1	MskImpact	May-15
CD276	Gene Symbol	hgnc:19137	CD276	MskImpact	May-15
CBFB	Gene Symbol	hgnc:1539	CBFB	MskImpact	May-15
BRCA2	Gene Symbol	hgnc:1101	BRCA2	MskImpact	May-15
ARID1A	Gene Symbol	hgnc:11110	ARID1A	MskImpact	May-15
CD274	Gene Symbol	hgnc:17635	CD274	MskImpact	May-15
ARID2	Gene Symbol	hgnc:18037	ARID2	MskImpact	May-15
TTYH1	Gene Symbol	hgnc:13476	TTYH1	IDG	15-Jul-19
B2M	Gene Symbol	hgnc:914	B2M	MskImpact	May-15
ATRX	Gene Symbol	hgnc:886	ATRX	MskImpact	May-15
CDKN1B	Gene Symbol	hgnc:1785	CDKN1B	MskImpact	May-15
BTK	Gene Symbol	hgnc:1133	BTK	MskImpact	May-15
AURKB	Gene Symbol	hgnc:11390	AURKB	MskImpact	May-15
CARD11	Gene Symbol	hgnc:16393	CARD11	MskImpact	May-15
BRD4	Gene Symbol	hgnc:13575	BRD4	MskImpact	May-15
BCOR	Gene Symbol	hgnc:20893	BCOR	MskImpact	May-15
APC	Gene Symbol	hgnc:583	APC	MskImpact	May-15
AXIN2	Gene Symbol	hgnc:904	AXIN2	MskImpact	May-15
BCL6	Gene Symbol	hgnc:1001	BCL6	MskImpact	May-15
ABL1	Gene Symbol	hgnc:76	ABL1	MskImpact	May-15
AKT2	Gene Symbol	hgnc:392	AKT2	MskImpact	May-15
CCND1	Gene Symbol	hgnc:1582	CCND1	MskImpact	May-15
BAP1	Gene Symbol	hgnc:950	BAP1	MskImpact	May-15
TMEM63B	Gene Symbol	hgnc:17735	TMEM63B	IDG	15-Jul-19
BRIP1	Gene Symbol	hgnc:20473	BRIP1	MskImpact	May-15
BRAF	Gene Symbol	hgnc:1097	BRAF	MskImpact	May-15
AXL	Gene Symbol	hgnc:905	AXL	MskImpact	May-15
BBC3	Gene Symbol	hgnc:17868	BBC3	MskImpact	May-15
BRCA1	Gene Symbol	hgnc:1100	BRCA1	MskImpact	May-15
CDKN2C	Gene Symbol	hgnc:1789	CDKN2C	MskImpact	May-15
AXIN1	Gene Symbol	hgnc:903	AXIN1	MskImpact	May-15
ALK	Gene Symbol	hgnc:427	ALK	MskImpact	May-15
ERBB4	Gene Symbol	hgnc:3432	ERBB4	MskImpact	May-15
EPHB1	Gene Symbol	hgnc:3392	EPHB1	MskImpact	May-15
CRLF2	Gene Symbol	hgnc:14281	CRLF2	MskImpact	May-15
EGFR	Gene Symbol	hgnc:3236	EGFR	MskImpact	May-15
FAM46C	Gene Symbol	hgnc:24712	TENT5C	MskImpact	May-15
EGFL7	Gene Symbol	hgnc:20594	EGFL7	MskImpact	May-15
FLT1	Gene Symbol	hgnc:3763	FLT1	MskImpact	May-15
ERG	Gene Symbol	hgnc:3446	ERG	MskImpact	May-15
CREBBP	Gene Symbol	hgnc:2348	CREBBP	MskImpact	May-15
CTNNB1	Gene Symbol	hgnc:2514	CTNNB1	MskImpact	May-15
FGFR1	Gene Symbol	hgnc:3688	FGFR1	MskImpact	May-15
FLCN	Gene Symbol	hgnc:27310	FLCN	MskImpact	May-15
EPCAM	Gene Symbol	hgnc:11529	EPCAM	MskImpact	May-15
DCUN1D1	Gene Symbol	hgnc:18184	DCUN1D1	MskImpact	May-15
EZH2	Gene Symbol	hgnc:3527	EZH2	MskImpact	May-15
FGF3	Gene Symbol	hgnc:3681	FGF3	MskImpact	May-15
EPHA3	Gene Symbol	hgnc:3387	EPHA3	MskImpact	May-15
EIF1AX	Gene Symbol	hgnc:3250	EIF1AX	MskImpact	May-15
ERBB3	Gene Symbol	hgnc:3431	ERBB3	MskImpact	May-15
CHEK1	Gene Symbol	hgnc:1925	CHEK1	MskImpact	May-15
ERBB2	Gene Symbol	hgnc:3430	ERBB2	MskImpact	May-15
FGFR2	Gene Symbol	hgnc:3689	FGFR2	MskImpact	May-15
FGFR3	Gene Symbol	hgnc:3690	FGFR3	MskImpact	May-15
FLT3	Gene Symbol	hgnc:3765	FLT3	MskImpact	May-15
ETV1	Gene Symbol	hgnc:3490	ETV1	MskImpact	May-15
FBXW7	Gene Symbol	hgnc:16712	FBXW7	MskImpact	May-15
ERCC4	Gene Symbol	hgnc:3436	ERCC4	MskImpact	May-15
FGF19	Gene Symbol	hgnc:3675	FGF19	MskImpact	May-15
FGFR4	Gene Symbol	hgnc:3691	FGFR4	MskImpact	May-15
FANCC	Gene Symbol	hgnc:3584	FANCC	MskImpact	May-15
FIP1L1	Gene Symbol	hgnc:19124	FIP1L1	MskImpact	May-15
CUL3	Gene Symbol	hgnc:2553	CUL3	MskImpact	May-15
E2F3	Gene Symbol	hgnc:3115	E2F3	MskImpact	May-15
CIC	Gene Symbol	hgnc:14214	CIC	MskImpact	May-15
DICER1	Gene Symbol	hgnc:17098	DICER1	MskImpact	May-15
CHEK2	Gene Symbol	hgnc:16627	CHEK2	MskImpact	May-15
DNMT3A	Gene Symbol	hgnc:2978	DNMT3A	MskImpact	May-15
FANCA	Gene Symbol	hgnc:3582	FANCA	MskImpact	May-15
ERCC2	Gene Symbol	hgnc:3434	ERCC2	MskImpact	May-15
DIS3	Gene Symbol	hgnc:20604	DIS3	MskImpact	May-15
ERCC3	Gene Symbol	hgnc:3435	ERCC3	MskImpact	May-15
FLT4	Gene Symbol	hgnc:3767	FLT4	MskImpact	May-15
FAM123B	Gene Symbol	hgnc:26837	AMER1	MskImpact	May-15
FAT1	Gene Symbol	hgnc:3595	FAT1	MskImpact	May-15
CTLA4	Gene Symbol	hgnc:2505	CTLA4	MskImpact	May-15
ESR1	Gene Symbol	hgnc:3467	ESR1	MskImpact	May-15
FOXA1	Gene Symbol	hgnc:5021	FOXA1	MskImpact	May-15
ERCC5	Gene Symbol	hgnc:3437	ERCC5	MskImpact	May-15
LMO1	Gene Symbol	hgnc:6641	LMO1	MskImpact	May-15
LATS2	Gene Symbol	hgnc:6515	LATS2	MskImpact	May-15
IRF4	Gene Symbol	hgnc:6119	IRF4	MskImpact	May-15
GSK3B	Gene Symbol	hgnc:4617	GSK3B	MskImpact	May-15
GRIN2A	Gene Symbol	hgnc:4585	GRIN2A	MskImpact	May-15
KLF4	Gene Symbol	hgnc:6348	KLF4	MskImpact	May-15
ICOSLG	Gene Symbol	hgnc:17087	ICOSLG	MskImpact	May-15
JAK3	Gene Symbol	hgnc:6193	JAK3	MskImpact	May-15
MDM4	Gene Symbol	hgnc:6974	MDM4	MskImpact	May-15
KDM5C	Gene Symbol	hgnc:11114	KDM5C	MskImpact	May-15
LATS1	Gene Symbol	hgnc:6514	LATS1	MskImpact	May-15
HGF	Gene Symbol	hgnc:4893	HGF	MskImpact	May-15
MDC1	Gene Symbol	hgnc:21163	MDC1	MskImpact	May-15
FOXP1	Gene Symbol	hgnc:3823	FOXP1	MskImpact	May-15
MAP2K1	Gene Symbol	hgnc:6840	MAP2K1	MskImpact	May-15
IL7R	Gene Symbol	hgnc:6024	IL7R	MskImpact	May-15
MAP2K2	Gene Symbol	hgnc:6842	MAP2K2	MskImpact	May-15
IL10	Gene Symbol	hgnc:5962	IL10	MskImpact	May-15
IRS1	Gene Symbol	hgnc:6125	IRS1	MskImpact	May-15
JAK2	Gene Symbol	hgnc:6192	JAK2	MskImpact	May-15
IGF2	Gene Symbol	hgnc:5466	IGF2	MskImpact	May-15
MAPK1	Gene Symbol	hgnc:6871	MAPK1	MskImpact	May-15
GATA3	Gene Symbol	hgnc:4172	GATA3	MskImpact	May-15
IFNGR1	Gene Symbol	hgnc:5439	IFNGR1	MskImpact	May-15
HNF1A	Gene Symbol	hgnc:11621	HNF1A	MskImpact	May-15
FUBP1	Gene Symbol	hgnc:4004	FUBP1	MskImpact	May-15
H3F3C	Gene Symbol	hgnc:33164	H3-5	MskImpact	May-15
KDM5A	Gene Symbol	hgnc:9886	KDM5A	MskImpact	May-15
HIST1H2BD	Gene Symbol	hgnc:4747	H2BC5	MskImpact	May-15
INSR	Gene Symbol	hgnc:6091	INSR	MskImpact	May-15
HIST1H1C	Gene Symbol	hgnc:4716	H1-2	MskImpact	May-15
INPP4B	Gene Symbol	hgnc:6075	INPP4B	MskImpact	May-15
IKZF1	Gene Symbol	hgnc:13176	IKZF1	MskImpact	May-15
KRAS	Gene Symbol	hgnc:6407	KRAS	MskImpact	May-15
GNAQ	Gene Symbol	hgnc:4390	GNAQ	MskImpact	May-15
MAX	Gene Symbol	hgnc:6913	MAX	MskImpact	May-15
IGF1	Gene Symbol	hgnc:5464	IGF1	MskImpact	May-15
MCL1	Gene Symbol	hgnc:32041	ADAMTSL4-AS1	MskImpact	May-15
KIT	Gene Symbol	hgnc:6342	KIT	MskImpact	May-15
INPP4A	Gene Symbol	hgnc:6074	INPP4A	MskImpact	May-15
MAP3K13	Gene Symbol	hgnc:6852	MAP3K13	MskImpact	May-15
GATA2	Gene Symbol	hgnc:4171	GATA2	MskImpact	May-15
