nct_id,drug_name_raw,drug_name_normalized
NCT06533384,"As per the germline BRCA1/2 mutation status, the selection of either Fuzuloparib or capecitabine in combination with Camrelizumab is made for adjuvant therapy.",ADJUVANT
NCT01434316,Dinaciclib,DINACICLIB
NCT01434316,Veliparib,VELIPARIB
NCT05358639,Olaparib tablet,OLAPARIB
NCT05358639,Navitoclax,NAVITOCLAX
NCT06377267,Olaparib,OLAPARIB
NCT07156253,SYN818 and Olaparib will be administered,OLAPARIB
NCT05568212,Durvalumab,DURVALUMAB
NCT05568212,Olaparib tablet,OLAPARIB
NCT05568212,Platinum doublet chemotherapy,PLATINUM
NCT05694715,Niraparib,NIRAPARIB
NCT05694715,Irinotecan,IRINOTECAN HYDROCHLORIDE
NCT03943173,Olaparib,OLAPARIB
NCT02393794,Romidepsin,ROMIDEPSIN
NCT02393794,Cisplatin,CISPLATIN
NCT02393794,Nivolumab,NIVOLUMAB
NCT07542002,"Irinotecan liposome, 5-fluorouracil/leucovorin, and oxaliplatin, with or without adadelimab.",IRINOTECAN HYDROCHLORIDE
NCT07542002,"Irinotecan liposome, 5-fluorouracil/leucovorin, and oxaliplatin, with or without adadelimab.",FLUOROURACIL
NCT07542002,"Irinotecan liposome, 5-fluorouracil/leucovorin, and oxaliplatin, with or without adadelimab.",OXALIPLATIN
NCT06033092,Tamoxifen 10 mg Tablet,TAMOXIFEN
NCT03786796,Olaparib,OLAPARIB
NCT04038502,Carboplatin,CARBOPLATIN
NCT04038502,Olaparib,OLAPARIB
NCT06488378,Axatilimab,AXATILIMAB
NCT06488378,Olaparib,OLAPARIB
NCT05806515,Carboplatin,CARBOPLATIN
NCT03967938,Olaparib Oral Capsule,OLAPARIB
NCT02571725,Olaparib,OLAPARIB
NCT02571725,Tremelimumab,TREMELIMUMAB
NCT02000089,Secretin,SECRETIN
NCT04890613,CX-5461,CX-5461
NCT03740893,Olaparib,OLAPARIB
NCT03740893,Durvalumab,DURVALUMAB
NCT03337087,Fluorouracil,FLUOROURACIL
NCT03337087,Irinotecan Sucrosofate,IRINOTECAN SUCROSOFATE
NCT03337087,Leucovorin Calcium,LEUCOVORIN CALCIUM
NCT03337087,Rucaparib,RUCAPARIB
NCT04858334,Olaparib,OLAPARIB
NCT06735326,Paclitaxel,PACLITAXEL
NCT06735326,Carboplatin,CARBOPLATIN
NCT03964532,Talazoparib,TALAZOPARIB
NCT03964532,Avelumab,AVELUMAB
NCT02693535,Palbociclib,PALBOCICLIB
NCT02693535,Sunitinib,SUNITINIB
NCT02693535,Temsirolimus,TEMSIROLIMUS
NCT02693535,Trastuzumab and Pertuzumab,TRASTUZUMAB
NCT02693535,Vemurafenib and Cobimetinib,VEMURAFENIB
NCT02693535,Vemurafenib and Cobimetinib,COBIMETINIB
NCT02693535,Regorafenib,REGORAFENIB
NCT02693535,Olaparib,OLAPARIB
NCT02693535,Nivolumab and Ipilimumab,NIVOLUMAB
NCT02693535,Nivolumab and Ipilimumab,IPILIMUMAB
NCT02693535,Abemaciclib,ABEMACICLIB
NCT02693535,Talazoparib,TALAZOPARIB
NCT02693535,Atezolizumab and Talazoparib,ATEZOLIZUMAB
NCT02693535,Tucatinib plus Trastuzumab Subcutaneous (SC),TUCATINIB
NCT02693535,Futibatinib,FUTIBATINIB
NCT02693535,Dabrafenib plus Trametinib,DABRAFENIB
NCT02693535,Dabrafenib plus Trametinib,TRAMETINIB
NCT06201234,Olaparib + Elacestrant,OLAPARIB
NCT06201234,Olaparib + Elacestrant,ELACESTRANT
NCT01874353,Olaparib 300mg tablets,OLAPARIB
NCT01638546,Temozolomide,TEMOZOLOMIDE
NCT01638546,Veliparib,VELIPARIB
NCT06115499,Nab paclitaxel,NAB-PACLITAXEL
NCT06115499,Gemcitabine,GEMCITABINE
NCT06115499,Cisplatin,CISPLATIN
NCT04892693,Talazoparib Oral Capsule,TALAZOPARIB
NCT01646034,"carboplatin, thiotepa, and cyclophosphamide",CARBOPLATIN
NCT01646034,"carboplatin, thiotepa, and cyclophosphamide",THIOTEPA
NCT01646034,"carboplatin, thiotepa, and cyclophosphamide",CYCLOPHOSPHAMIDE
NCT01646034,"chemotherapy (docetaxel, doxorubicin, cyclofosfamide, carboplatin, paclitaxel, gemcitabine)",DOXORUBICIN HYDROCHLORIDE
NCT01646034,"chemotherapy (docetaxel, doxorubicin, cyclofosfamide, carboplatin, paclitaxel, gemcitabine)",PACLITAXEL
NCT01646034,"chemotherapy (docetaxel, doxorubicin, cyclofosfamide, carboplatin, paclitaxel, gemcitabine)",GEMCITABINE
NCT05457257,olaparib,OLAPARIB
NCT05457257,enzalutamide,ENZALUTAMIDE
NCT05457257,abiraterone acetate,ABIRATERONE ACETATE
NCT05457257,Prednisone,PREDNISONE
NCT03990896,Talazoparib,TALAZOPARIB
NCT05327010,BET Bromodomain Inhibitor ZEN-3694,BET BROMODOMAIN INHIBITOR ZEN-3694
NCT05327010,Talazoparib,TALAZOPARIB
NCT06580314,Olaparib,OLAPARIB
NCT06212583,niraparib/abiraterone acetate,NIRAPARIB
NCT06212583,niraparib/abiraterone acetate,ACETATE
NCT03344965,Olaparib,OLAPARIB
NCT04548752,Olaparib,OLAPARIB
NCT04548752,Pembrolizumab,PEMBROLIZUMAB
NCT05078671,Olaparib,OLAPARIB
NCT05078671,Cobicistat,COBICISTAT
NCT03742895,Olaparib,OLAPARIB
NCT06022029,Cemiplimab,CEMIPLIMAB
NCT01905046,metformin hydrochloride,METFORMIN HYDROCHLORIDE
NCT05933265,Olaparib,OLAPARIB
NCT05933265,Nivolumab & Ipilimumab,NIVOLUMAB
NCT05933265,Nivolumab & Ipilimumab,IPILIMUMAB
NCT04439227,Adavosertib,ADAVOSERTIB
NCT02849496,Atezolizumab,ATEZOLIZUMAB
NCT02849496,Olaparib,OLAPARIB
NCT01898117,Carbo/cyclo + atezolizumab,ATEZOLIZUMAB
NCT01898117,Paclitaxel,PACLITAXEL
NCT00080756,therapeutic estradiol,ESTRADIOL PHOSPHATE
NCT00080756,deslorelin,DESLORELIN
NCT00080756,therapeutic testosterone,TESTOSTERONE
NCT02286687,Talazoparib,TALAZOPARIB
NCT05659914,olaparib+durvalumab,OLAPARIB
NCT05659914,olaparib+durvalumab,DURVALUMAB
NCT05033756,Pembrolizumab Injection [Keytruda],PEMBROLIZUMAB
NCT05033756,Olaparib Oral Tablet [Lynparza],OLAPARIB
NCT06324240,Ipilimumab,IPILIMUMAB
NCT06324240,Pembrolizumab,PEMBROLIZUMAB
NCT06324240,Vaccine Therapy,VACCINE
NCT02810743,ddAC-CP-Olaparib,OLAPARIB
NCT06279364,Paclitaxel,PACLITAXEL
NCT06279364,Nab-paclitaxel,NAB-PACLITAXEL
NCT06279364,Capecitabine,CAPECITABINE
NCT06279364,Carboplatin,CARBOPLATIN
NCT04150042,Melphalan,MELPHALAN
NCT05498272,Olaparib,OLAPARIB
NCT03012321,Olaparib,OLAPARIB
NCT03012321,Abiraterone Acetate,ABIRATERONE ACETATE
NCT03012321,Prednisone,PREDNISONE
NCT04090567,Cediranib,CEDIRANIB
NCT04090567,Ceralasertib,CERALASERTIB
NCT04090567,Olaparib,OLAPARIB
NCT06783140,Nab paclitaxel,NAB-PACLITAXEL
NCT06783140,Gemcitabine,GEMCITABINE
NCT06783140,Cisplatin,CISPLATIN
NCT03586661,Copanlisib,COPANLISIB
NCT03586661,Niraparib,NIRAPARIB
NCT04520074,"Etoposide, Cyclophosphamide, Carboplatin/Cisplatin",ETOPOSIDE
NCT04520074,"Etoposide, Cyclophosphamide, Carboplatin/Cisplatin",CYCLOPHOSPHAMIDE
NCT04520074,"Etoposide, Cyclophosphamide, Carboplatin/Cisplatin",CARBOPLATIN
NCT04520074,"Etoposide, Cyclophosphamide, Carboplatin/Cisplatin",CISPLATIN
NCT06981377,"Analysis of cell free DNA, and extracellular vesicles (EVs) and EV-associated molecular components (including RNA, DNA, proteins)",PROTEIN S
NCT05379972,Pembrolizumab,PEMBROLIZUMAB
NCT05379972,Olaparib,OLAPARIB
NCT06193525,Talazoparib,TALAZOPARIB
NCT04711109,Denosumab,DENOSUMAB
NCT03155620,Ensartinib,ENSARTINIB
NCT03155620,Erdafitinib,ERDAFITINIB
NCT03155620,Ivosidenib,IVOSIDENIB
NCT03155620,Larotrectinib Sulfate,LAROTRECTINIB SULFATE
NCT03155620,Olaparib,OLAPARIB
NCT03155620,Palbociclib,PALBOCICLIB
NCT03155620,Samotolisib,SAMOTOLISIB
NCT03155620,Selpercatinib,SELPERCATINIB
NCT03155620,Selumetinib Sulfate,SELUMETINIB SULFATE
NCT03155620,Tazemetostat,TAZEMETOSTAT
NCT03155620,Tipifarnib,TIPIFARNIB
NCT03155620,Ulixertinib,ULIXERTINIB
NCT03155620,Vemurafenib,VEMURAFENIB
NCT04335669,"epirubicin, cyclophosphamide, paclitaxel, carboplatin, pembrolizumab",EPIRUBICIN
NCT04335669,"epirubicin, cyclophosphamide, paclitaxel, carboplatin, pembrolizumab",CYCLOPHOSPHAMIDE
NCT04335669,"epirubicin, cyclophosphamide, paclitaxel, carboplatin, pembrolizumab",PACLITAXEL
NCT04335669,"epirubicin, cyclophosphamide, paclitaxel, carboplatin, pembrolizumab",CARBOPLATIN
NCT04335669,"epirubicin, cyclophosphamide, paclitaxel, carboplatin, pembrolizumab",PEMBROLIZUMAB
NCT04335669,"epirubicin, cyclophosphamide, capecitabine, paclitaxel, carboplatin, pembrolizumab",CAPECITABINE
NCT05787587,Pembrolizumab,PEMBROLIZUMAB
NCT06401980,Darolutamide,DAROLUTAMIDE
NCT06195306,Tamoxifen,TAMOXIFEN
NCT06470347,A Real-World Study of Pyrrolitinib Maleate Tablets for HER-2-Positive Early or Locally Advanced Breast Cancer After Adjuvant Trastuzumab Therapy,ADJUVANT
NCT06470347,A Real-World Study of Pyrrolitinib Maleate Tablets for HER-2-Positive Early or Locally Advanced Breast Cancer After Adjuvant Trastuzumab Therapy,TRASTUZUMAB
NCT02032823,Olaparib,OLAPARIB
NCT06380751,Saruparib (AZD5305),SARUPARIB
NCT06380751,Camizestrant,CAMIZESTRANT
NCT06380751,Abemaciclib,ABEMACICLIB
NCT06380751,Ribociclib,RIBOCICLIB
NCT06380751,Palbociclib,PALBOCICLIB
NCT06380751,Fulvestrant,FULVESTRANT
NCT06380751,Letrozole,LETROZOLE
NCT06380751,Anastrozole,ANASTROZOLE
NCT06380751,Exemestane,EXEMESTANE
NCT05367440,Enzalutamide,ENZALUTAMIDE
NCT05367440,Abiraterone Acetate,ABIRATERONE ACETATE
NCT05367440,Darolutamide,DAROLUTAMIDE
NCT05367440,Apalutamide,APALUTAMIDE
NCT04584255,Niraparib,NIRAPARIB
NCT04584255,Dostarlimab,DOSTARLIMAB
NCT02208375,Capivasertib,CAPIVASERTIB
NCT02208375,Olaparib,OLAPARIB
NCT02208375,Vistusertib,VISTUSERTIB
NCT03414684,Carboplatin,CARBOPLATIN
NCT03414684,Nivolumab,NIVOLUMAB
NCT06177171,Olaparib,OLAPARIB
NCT03428802,Pembrolizumab,PEMBROLIZUMAB
NCT05485766,Pembrolizumab,PEMBROLIZUMAB
NCT05485766,Paclitaxel,PACLITAXEL
NCT05485766,Carboplatin,CARBOPLATIN
NCT05485766,Olaparib,OLAPARIB
NCT04045691,Encorafenib,ENCORAFENIB
NCT04045691,Binimetinib,BINIMETINIB
NCT06249282,Carfilzomib,CARFILZOMIB
NCT06249282,Sotorasib,SOTORASIB
NCT07240766,HRS-4642+AG+Nimotuzumab,NIMOTUZUMAB
NCT07044336,Doxorubicin,DOXORUBICIN HYDROCHLORIDE
NCT07044336,Paclitaxel,PACLITAXEL
NCT02152631,Abemaciclib,ABEMACICLIB
NCT02152631,Erlotinib,ERLOTINIB
NCT06736717,Onvansertib,ONVANSERTIB
NCT04449874,Atezolizumab,ATEZOLIZUMAB
NCT04449874,Cetuximab,CETUXIMAB
NCT04449874,Erlotinib,ERLOTINIB
NCT04449874,Inavolisib,INAVOLISIB
NCT06582771,Sotorasib,SOTORASIB
NCT05398094,Sotorasib,SOTORASIB
NCT04230759,Durvalumab,DURVALUMAB
NCT06315010,Repotrectinib,REPOTRECTINIB
NCT06158841,Carfilzomib,CARFILZOMIB
NCT06158841,Pomalidomide,POMALIDOMIDE
NCT06158841,Elotuzumab,ELOTUZUMAB
NCT06158841,Selinexor,SELINEXOR
NCT06158841,Bortezomib,BORTEZOMIB
NCT06158841,Dexamethasone,DEXAMETHASONE
NCT07349537,cetuximab,CETUXIMAB
NCT06758401,Pembrolizumab,PEMBROLIZUMAB
NCT06088290,Lurbinectedin,LURBINECTEDIN
NCT06088290,Doxorubicin,DOXORUBICIN HYDROCHLORIDE
NCT07204340,TLN-372 in combination with cetuximab,CETUXIMAB
NCT07204340,TLN-372 in combination with pembrolizumab,PEMBROLIZUMAB
NCT06179160,Cetuximab,CETUXIMAB
NCT06179160,Retifanlimab,RETIFANLIMAB
NCT05549297,Tebentafusp,TEBENTAFUSP
NCT05549297,Tebentafusp with Pembrolizumab,PEMBROLIZUMAB
NCT06211036,Tarlatamab,TARLATAMAB
NCT06211036,Durvalumab,DURVALUMAB
NCT02246621,Abemaciclib,ABEMACICLIB
NCT02246621,Anastrozole,ANASTROZOLE
NCT02246621,Letrozole,LETROZOLE
NCT03206671,Rituximab window,RITUXIMAB
NCT03206671,Cyclophosphamide,CYCLOPHOSPHAMIDE
NCT03206671,Cytarabine,CYTARABINE
NCT03206671,Dexamethasone,DEXAMETHASONE
NCT03206671,Doxorubicin hydrochloride,DOXORUBICIN HYDROCHLORIDE
NCT03206671,Vindesine Sulfate,VINDESINE SULFATE
NCT03206671,Etoposide,ETOPOSIDE
NCT03206671,Ifosfamide,IFOSFAMIDE
NCT03206671,Methotrexate,METHOTREXATE
NCT03206671,Prednisolone,PREDNISOLONE
NCT03206671,Vincristine,VINCRISTINE
NCT06343402,Pembrolizumab,PEMBROLIZUMAB
NCT06008093,Durvalumab,DURVALUMAB
NCT06008093,Tremelimumab,TREMELIMUMAB
NCT06008093,Pembrolizumab,PEMBROLIZUMAB
NCT06008093,Carboplatin,CARBOPLATIN
NCT06008093,Cisplatin,CISPLATIN
NCT06782932,Balstilimab,BALSTILIMAB
NCT06782932,Cyclophosphamide,CYCLOPHOSPHAMIDE
NCT06782932,GVAX,GVAX
NCT05853575,Adagrasib,ADAGRASIB
NCT06097364,Odronextamab,ODRONEXTAMAB
NCT06097364,Rituximab,RITUXIMAB
NCT06097364,Cyclophosphamide,CYCLOPHOSPHAMIDE
NCT06097364,Doxorubicin,DOXORUBICIN HYDROCHLORIDE
NCT06097364,Vincristine,VINCRISTINE
NCT06097364,Prednisone/Prenisolone,PREDNISONE
NCT06496373,Fixed neoantigen tumor vaccine,VACCINE
NCT06496373,PD-1 inhibitor,PD1 INHIBITOR
NCT04931342,Ipatasertib,IPATASERTIB
NCT04931342,Cobimetinib,COBIMETINIB
NCT04931342,Trastuzumab Emtansine,TRASTUZUMAB
NCT04931342,Atezolizumab,ATEZOLIZUMAB
NCT04931342,Paclitaxel,PACLITAXEL
NCT04931342,Giredestrant,GIREDESTRANT
NCT04931342,Abemaciclib,ABEMACICLIB
NCT04931342,Inavolisib,INAVOLISIB
NCT04931342,Palbociclib,PALBOCICLIB
NCT04931342,Letrozole,LETROZOLE
NCT04931342,Olaparib,OLAPARIB
NCT04931342,Cyclophosphamide,CYCLOPHOSPHAMIDE
NCT04625270,avutometinib (VS-6766),AVUTOMETINIB
NCT04625270,avutometinib (VS-6766) and defactinib,DEFACTINIB
NCT04102098,Atezolizumab,ATEZOLIZUMAB
NCT06720987,Cetuximab,CETUXIMAB
NCT04027309,Gilteritinib,GILTERITINIB
NCT04027309,Midostaurin,MIDOSTAURIN
NCT07129993,Carboplatin,CARBOPLATIN
NCT07129993,Cisplatin,CISPLATIN
NCT07129993,Gemcitabine,GEMCITABINE
NCT06890598,Pembrolizumab,PEMBROLIZUMAB
NCT06890598,Durvalumab,DURVALUMAB
NCT07397338,Carboplatin/Cisplatin + Pemetrexed (Dose Expansion Only),CARBOPLATIN
NCT07397338,Carboplatin/Cisplatin + Pemetrexed (Dose Expansion Only),CISPLATIN
NCT07397338,cetuximab (Cohort C2 Only),CETUXIMAB
NCT04204837,Nivolumab,NIVOLUMAB
NCT04204837,Nivolumab plus Relatlimab,RELATLIMAB
NCT06497556,Divarasib,DIVARASIB
NCT06497556,Sotorasib,SOTORASIB
NCT06497556,Adagrasib,ADAGRASIB
NCT04099251,Nivolumab,NIVOLUMAB
NCT06412198,Cetuximab,CETUXIMAB
NCT06412198,Cemiplimab,CEMIPLIMAB
NCT06412198,Adagrasib,ADAGRASIB
NCT07012031,Sotorasib,SOTORASIB
NCT07012031,Trastuzumab Deruxtecan,TRASTUZUMAB DERUXTECAN
NCT06662786,Amivantamab,AMIVANTAMAB
NCT06662786,Cetuximab,CETUXIMAB
NCT06662786,5-fluorouracil,FLUOROURACIL
NCT06662786,Leucovorin calcium/Levoleucovorin,CALCIUM PHOSPHATE
NCT06662786,Leucovorin calcium/Levoleucovorin,LEVOLEUCOVORIN
NCT06662786,Oxaliplatin,OXALIPLATIN
NCT06662786,Irinotecan Hydrochloride,IRINOTECAN HYDROCHLORIDE
NCT01081262,Capecitabine,CAPECITABINE
NCT01081262,Carboplatin,CARBOPLATIN
NCT01081262,Oxaliplatin,OXALIPLATIN
NCT01081262,Paclitaxel,PACLITAXEL
NCT06015724,KRAS vaccine,VACCINE
NCT06015724,Nivolumab,NIVOLUMAB
NCT05740566,Tarlatamab,TARLATAMAB
NCT05740566,Lurbinectedin,LURBINECTEDIN
NCT05740566,Topotecan,TOPOTECAN HYDROCHLORIDE
NCT05740566,Amrubicin,AMRUBICIN
NCT06807619,Sotorasib,SOTORASIB
NCT07213804,Paclitaxel,PACLITAXEL
NCT07213804,Topotecan,TOPOTECAN HYDROCHLORIDE
NCT07213804,Gemcitabine,GEMCITABINE
NCT07213804,Pegylated liposomal doxorubicin (PLD),DOXORUBICIN HYDROCHLORIDE
NCT07213804,Carboplatin,CARBOPLATIN
NCT07174908,anti-PD-1 monoclonal antibody in combination with platinum and pemetrexed,PLATINUM
NCT07492342,fulzerasib,FULZERASIB
NCT06841159,Sintilimab,SINTILIMAB
NCT05504278,Cetuximab,CETUXIMAB
NCT05504278,Carboplatin,CARBOPLATIN
NCT05504278,Sintilimab,SINTILIMAB
NCT05504278,cis-platinum,PLATINUM
NCT05074810,avutometinib and sotorasib,AVUTOMETINIB
NCT05074810,avutometinib and sotorasib,SOTORASIB
NCT05074810,avutometinib and sotorasib and defactinib,DEFACTINIB
NCT07455617,Sintilimab injection,SINTILIMAB
NCT06229340,Leflunomide,LEFLUNOMIDE
NCT06229340,The combination of MEK inhibitor + hydroxychloroquine( plaquenil) ± bevacizumab,HYDROXYCHLOROQUINE SULFATE
NCT05654623,Fulvestrant,FULVESTRANT
NCT05118854,Cisplatin,CISPLATIN
NCT05118854,Carboplatin,CARBOPLATIN
NCT05375994,avutometinib (VS-6766) and adagrasib,AVUTOMETINIB
NCT05375994,avutometinib (VS-6766) and adagrasib,ADAGRASIB
NCT05945732,Trastuzumab deruxtecan,TRASTUZUMAB DERUXTECAN
NCT05327894,Blinatumomab,BLINATUMOMAB
NCT05816499,Cadonilimab,CADONILIMAB
NCT05816499,Anlotinib,ANLOTINIB
NCT03470922,Relatlimab,RELATLIMAB
NCT03470922,Nivolumab,NIVOLUMAB
NCT02227251,Selinexor,SELINEXOR
NCT06659042,Tislelizumab,TISLELIZUMAB
NCT06659042,Cisplatin,CISPLATIN
NCT06659042,Carboplatin,CARBOPLATIN
NCT06659042,Pemetrexed Disodium,PEMETREXED DISODIUM
NCT04613596,Adagrasib,ADAGRASIB
NCT04613596,Pembrolizumab,PEMBROLIZUMAB
NCT04803994,Atezolizumab,ATEZOLIZUMAB
NCT04956640,Pembrolizumab,PEMBROLIZUMAB
NCT04956640,Cetuximab,CETUXIMAB
NCT04956640,Cisplatin,CISPLATIN
NCT04956640,Carboplatin,CARBOPLATIN
NCT04657991,Encorafenib,ENCORAFENIB
NCT04657991,Binimetinib,BINIMETINIB
NCT04657991,Pembrolizumab,PEMBROLIZUMAB
NCT03820830,Palbociclib 125mg,PALBOCICLIB
NCT06739395,Olaparib tablet,OLAPARIB
NCT06739395,Temozolomide capsule,TEMOZOLOMIDE
NCT06739395,Anlotinib,ANLOTINIB
NCT06739395,Trametinib tablet,TRAMETINIB
NCT06739395,Dabrafenib,DABRAFENIB
NCT06739395,Vebreltinib Enteric Capsules,VEBRELTINIB
NCT06739395,Alpelisib Pill,ALPELISIB
NCT06739395,Lenvatinib Capsules,LENVATINIB
NCT06739395,Pazopanib Pill,PAZOPANIB
NCT06739395,Palbociclib Pill,PALBOCICLIB
NCT06739395,Chidamide,CHIDAMIDE
NCT06750094,Amivantamab,AMIVANTAMAB
NCT06750094,Cetuximab,CETUXIMAB
NCT06750094,5-fluorouracil,FLUOROURACIL
NCT06750094,Leucovorin calcium/Levoleucovorin,CALCIUM PHOSPHATE
NCT06750094,Leucovorin calcium/Levoleucovorin,LEVOLEUCOVORIN
NCT06750094,Irinotecan,IRINOTECAN HYDROCHLORIDE
NCT04929223,Inavolisib,INAVOLISIB
NCT04929223,Cetuximab,CETUXIMAB
NCT04929223,Atezolizumab,ATEZOLIZUMAB
NCT04929223,Tiragolumab,TIRAGOLUMAB
NCT04929223,SY-5609,SY-5609
NCT04929223,Divarasib,DIVARASIB
NCT07252739,Pembrolizumab,PEMBROLIZUMAB
NCT07252739,Cetuximab,CETUXIMAB
NCT07252739,Carboplatin,CARBOPLATIN
NCT01933932,Selumetinib,SELUMETINIB
NCT06136624,Abiraterone acetate,ABIRATERONE ACETATE
NCT06136624,Enzalutamide,ENZALUTAMIDE
NCT06136624,Hydrocortisone,HYDROCORTISONE PHOSPHATE
NCT06136624,Fludrocortisone acetate,FLUDROCORTISONE ACETATE
NCT06136624,Prednisone,PREDNISONE
NCT06136624,Dexamethasone,DEXAMETHASONE
NCT06998940,Fluorouracil,FLUOROURACIL
NCT06998940,Gemcitabine,GEMCITABINE
NCT06998940,Irinotecan,IRINOTECAN HYDROCHLORIDE
NCT06998940,Irinotecan Sucrosofate,IRINOTECAN SUCROSOFATE
NCT06998940,Nab-paclitaxel,NAB-PACLITAXEL
NCT06998940,Panitumumab,PANITUMUMAB
NCT04599140,Nivolumab,NIVOLUMAB
NCT02365597,Erdafitinib,ERDAFITINIB
NCT02365597,Midazolam,MIDAZOLAM HYDROCHLORIDE
NCT02365597,Metformin,METFORMIN
NCT06043713,Bendamustine,BENDAMUSTINE
NCT06043713,Cyclophosphamide,CYCLOPHOSPHAMIDE
NCT06043713,Fludarabine,FLUDARABINE
NCT05983159,Alpelisib,ALPELISIB
NCT05983159,Mirdametinib,MIRDAMETINIB
NCT05382559,Cetuximab,CETUXIMAB
NCT05382559,Oxaliplatin,OXALIPLATIN
NCT05382559,Fluorouracil,FLUOROURACIL
NCT05382559,Irinotecan,IRINOTECAN HYDROCHLORIDE
NCT05382559,Nanoparticle albumin-bound-paclitaxel,PACLITAXEL
NCT05382559,Gemcitabine,GEMCITABINE
NCT05382559,Pembrolizumab,PEMBROLIZUMAB
NCT05382559,Cisplatin,CISPLATIN
NCT05382559,Carboplatin,CARBOPLATIN
NCT06943755,Zanzalintinib,ZANZALINTINIB
NCT06943755,Everolimus,EVEROLIMUS
NCT06625320,Gemcitabine,GEMCITABINE
NCT06625320,nab-paclitaxel,NAB-PACLITAXEL
NCT06625320,Irinotecan,IRINOTECAN HYDROCHLORIDE
NCT06625320,5-fluorouracil,FLUOROURACIL
NCT06625320,Oxaliplatin,OXALIPLATIN
NCT05501886,Gedatolisib,GEDATOLISIB
NCT05501886,Palbociclib,PALBOCICLIB
NCT05501886,Fulvestrant,FULVESTRANT
NCT05501886,Alpelisib,ALPELISIB
NCT03873402,Nivolumab,NIVOLUMAB
NCT03873402,Ipilimumab,IPILIMUMAB
NCT07183865,Irinotecan Hydrochloride Liposome,IRINOTECAN HYDROCHLORIDE
NCT03528694,Durvalumab (MEDI4736),DURVALUMAB
NCT06818812,Cetuximab,CETUXIMAB
NCT06577532,Toripalimab,TORIPALIMAB
NCT05625399,Nivolumab + Relatlimab,NIVOLUMAB
NCT05625399,Nivolumab + Relatlimab,RELATLIMAB
NCT04699188,tislelizumab,TISLELIZUMAB
NCT05224141,Pembrolizumab/Vibostolimab Co-Formulation,PEMBROLIZUMAB
NCT05224141,Pembrolizumab/Vibostolimab Co-Formulation,VIBOSTOLIMAB
NCT05224141,Etoposide,ETOPOSIDE
NCT05224141,Cisplatin,CISPLATIN
NCT05224141,Atezolizumab,ATEZOLIZUMAB
NCT05224141,Carboplatin,CARBOPLATIN
NCT04008030,Ipilimumab,IPILIMUMAB
NCT04008030,Oxaliplatin,OXALIPLATIN
NCT04008030,Fluorouracil,FLUOROURACIL
NCT04008030,Irinotecan,IRINOTECAN HYDROCHLORIDE
NCT04008030,Cetuximab,CETUXIMAB
NCT04008030,Nivolumab,NIVOLUMAB
NCT04595565,Capecitabine,CAPECITABINE
NCT04595565,Carboplatin,CARBOPLATIN
NCT04595565,Cisplatin,CISPLATIN
NCT04595565,Sacituzumab govitecan,SACITUZUMAB GOVITECAN
NCT02642042,Trametinib,TRAMETINIB
NCT06190951,cemiplimab,CEMIPLIMAB
NCT06190951,Fixed Dose Combination (FDC) cemiplimab+fianlimab,FIANLIMAB
NCT06467357,Gemcitabine,GEMCITABINE
NCT06467357,Cisplatin,CISPLATIN
NCT06467357,Durvalumab,DURVALUMAB
NCT06467357,Trastuzumab deruxtecan,TRASTUZUMAB DERUXTECAN
NCT06467357,Rilvegostomig,RILVEGOSTOMIG
NCT06428500,Cetuximab,CETUXIMAB
NCT04892173,Cetuximab,CETUXIMAB
NCT06835569,cetuximab,CETUXIMAB
NCT04534205,Pembrolizumab,PEMBROLIZUMAB
NCT06011772,Recombinant Human EGF-rP64K/Montanide ISA 51 Vaccine,EGF
NCT06011772,Recombinant Human EGF-rP64K/Montanide ISA 51 Vaccine,VACCINE
NCT06011772,Oxaliplatin,OXALIPLATIN
NCT06011772,Fluorouracil,FLUOROURACIL
NCT06011772,Irinotecan,IRINOTECAN HYDROCHLORIDE
NCT06011772,Cetuximab,CETUXIMAB
NCT05673187,Adagrasib,ADAGRASIB
NCT05789082,Divarasib,DIVARASIB
NCT05789082,Pembrolizumab,PEMBROLIZUMAB
NCT05789082,Carboplatin,CARBOPLATIN
NCT05789082,Cisplatin,CISPLATIN
NCT05254184,Pooled Mutant KRAS-Targeted Long Peptide Vaccine 0.3mg each; 1.8mg total peptides,VACCINE
NCT05180799,Nivolumab,NIVOLUMAB
NCT05180799,Pembrolizumab,PEMBROLIZUMAB
NCT06952504,Pembrolizumab,PEMBROLIZUMAB
NCT06952504,Carboplatin,CARBOPLATIN
NCT06952504,Paclitaxel,PACLITAXEL
NCT07005128,Tarlatamab,TARLATAMAB
NCT07005128,Durvalumab,DURVALUMAB
NCT07005128,Carboplatin,CARBOPLATIN
NCT07005128,Etoposide,ETOPOSIDE
NCT06091865,Odronextamab,ODRONEXTAMAB
NCT06091865,Rituximab,RITUXIMAB
NCT06091865,Cyclophosphamide,CYCLOPHOSPHAMIDE
NCT06091865,Doxorubicin,DOXORUBICIN HYDROCHLORIDE
NCT06091865,Vincristine,VINCRISTINE
NCT06091865,Prednisone/Prednisolone,PREDNISONE
NCT06091865,Prednisone/Prednisolone,PREDNISOLONE PHOSPHATE
NCT07198841,IBI351 combined with cetuximab β,CETUXIMAB
NCT06830720,ribociclib + AI ± LHRH,RIBOCICLIB
NCT06830720,abemaciclib + ET ± LHRH,ABEMACICLIB
NCT05417789,Emactuzumab,EMACTUZUMAB
