drug_claim_name,nomenclature,concept_id,drug_name,approved,immunotherapy,anti_neoplastic,source_db_name,source_db_version,fda_approval_year,biomarker,drug_class,mechanism
Relamorelin,Primary Drug Name,ncit:C152174,RELAMORELIN,False,False,False,NCIt,24.02d,,,,
Olodanrigan,Primary Drug Name,ncit:C174823,OLODANRIGAN,False,False,False,NCIt,24.02d,,,,
Lirentelimab,Primary Drug Name,ncit:C129591,LIRENTELIMAB,False,False,False,NCIt,24.02d,,,,
"2-amino-3-[4-hydroxy-6-oxo-3-(2-phenyl-cyclopropylimino)-cyclohexa-1,4-dienyl]-propionic acid",Primary Name,drugbank:DB01657,"2-AMINO-3-[4-HYDROXY-6-OXO-3-(2-PHENYL-CYCLOPROPYLIMINO)-CYCLOHEXA-1,4-DIENYL]-PROPIONIC ACID",False,False,False,DrugBank,5.1.12,,,,
Alicaforsen,Primary Drug Name,ncit:C169771,ALICAFORSEN,False,False,False,NCIt,24.02d,,,,
Fazpilodemab,Primary Drug Name,ncit:C188644,FAZPILODEMAB,False,False,False,NCIt,24.02d,,,,
lenograstim,Primary Drug Name,rxcui:70167,LENOGRASTIM,True,False,False,RxNorm,20240401,,,,
SNX 5422,Primary Drug Name,ncit:C141504,SNX 5422,False,False,False,NCIt,24.02d,,,,
iodine povacrylex,Primary Drug Name,rxcui:692863,IODINE POVACRYLEX,True,False,False,RxNorm,20240401,,,,
proflavine,Primary Drug Name,rxcui:8723,PROFLAVINE,True,False,False,RxNorm,20240401,,,,
TOLEVAMER SODIUM,Primary Name,chembl:CHEMBL2108872,TOLEVAMER SODIUM,False,False,False,ChEMBL,33,,,,
Reloxaliase,Primary Drug Name,ncit:C152180,RELOXALIASE,False,False,False,NCIt,24.02d,,,,
DAVANAT,Primary Name,drugbank:DB15311,DAVANAT,False,False,False,ChEMBL,33,,,,
Balapiravir,Primary Drug Name,ncit:C87439,BALAPIRAVIR,False,False,False,NCIt,24.02d,,,,
Ataciguat,Primary Drug Name,ncit:C79587,ATACIGUAT,False,False,False,NCIt,24.02d,,,,
Zinlirvimab,Primary Drug Name,ncit:C188593,ZINLIRVIMAB,False,False,False,NCIt,24.02d,,,,
Pucotenlimab,Primary Drug Name,ncit:C160717,PUCOTENLIMAB,False,False,False,NCIt,24.02d,,,,
lumasiran sodium,Primary Drug Name,rxcui:2467161,LUMASIRAN SODIUM,True,False,False,RxNorm,20240401,,,,
ziconotide,Primary Drug Name,rxcui:68503,ZICONOTIDE,True,False,False,RxNorm,20240401,,,,
serdexmethylphenidate chloride,Primary Drug Name,rxcui:2562177,SERDEXMETHYLPHENIDATE CHLORIDE,True,False,False,RxNorm,20240401,,,,
fosdenopterin hydrobromide,Primary Drug Name,rxcui:2531287,FOSDENOPTERIN HYDROBROMIDE,True,False,False,RxNorm,20240401,,,,
ibrexafungerp citrate,Primary Drug Name,rxcui:2560215,IBREXAFUNGERP CITRATE,True,False,False,RxNorm,20240401,,,,
fumaric acid,Primary Drug Name,rxcui:25389,FUMARIC ACID,True,False,False,RxNorm,20240401,,,,
Ziresovir,Primary Drug Name,ncit:C170395,ZIRESOVIR,False,False,False,NCIt,24.02d,,,,
Zoliflodacin,Primary Drug Name,ncit:C152962,ZOLIFLODACIN,False,False,False,NCIt,24.02d,,,,
iohexol,Primary Drug Name,rxcui:5956,IOHEXOL,True,False,False,RxNorm,20240401,,,,
gadopentetate,Primary Drug Name,rxcui:1546432,GADOPENTETATE,True,False,False,RxNorm,20240401,,,,
Talsaclidine,Primary Drug Name,ncit:C96885,TALSACLIDINE,False,False,False,NCIt,24.02d,,,,
Vodobatinib,Primary Drug Name,ncit:C174748,VODOBATINIB,False,False,False,NCIt,24.02d,,,,
Vilaprisan,Primary Drug Name,ncit:C148505,VILAPRISAN,False,False,False,NCIt,24.02d,,,,
zilucoplan,Primary Drug Name,rxcui:2672489,ZILUCOPLAN,True,False,False,RxNorm,20240401,,,,
glofitamab,Primary Drug Name,rxcui:2639782,GLOFITAMAB,True,False,False,RxNorm,20240401,,,,
Adagloxad Simolenin,Primary Drug Name,ncit:C99766,ADAGLOXAD SIMOLENIN,False,False,False,NCIt,24.02d,,,,
sisomicin,Primary Drug Name,rxcui:9806,SISOMICIN,False,False,False,RxNorm,20240401,,,,
Metrizoic Acid,Primary Drug Name,drugbank:DB09346,METRIZOIC ACID,True,False,False,ChemIDplus,20230222,,,,
Imisopasem Manganese,Primary Drug Name,ncit:C111684,IMISOPASEM MANGANESE,False,False,False,NCIt,24.02d,,,,
octocrylene,Primary Drug Name,rxcui:77674,OCTOCRYLENE,True,False,False,RxNorm,20240401,,,,
Rodatristat Ethyl,Primary Drug Name,ncit:C171781,RODATRISTAT ETHYL,False,False,False,NCIt,24.02d,,,,
Tadekinig Alfa,Primary Drug Name,ncit:C152488,TADEKINIG ALFA,False,False,False,NCIt,24.02d,,,,
samidorphan L-malate,Primary Drug Name,rxcui:2570387,SAMIDORPHAN L-MALATE,True,False,False,RxNorm,20240401,,,,
Erythromycin Acistrate,Primary Drug Name,ncit:C166893,ERYTHROMYCIN ACISTRATE,False,False,False,NCIt,24.02d,,,,
serum albumin iodonated,Primary Drug Name,chembl:CHEMBL1201453,"ALBUMIN, IODINATED I 131 SERUM",True,False,False,Wikidata,20240411,,,,
Verdiperstat,Primary Drug Name,ncit:C152861,VERDIPERSTAT,False,False,False,NCIt,24.02d,,,,
bromopride,Primary Drug Name,rxcui:19768,BROMOPRIDE,False,False,False,RxNorm,20240401,,,,
BMS-823778,Primary Name,iuphar.ligand:10158,BMS-823778,False,False,False,ChEMBL,33,,,,
adagrasib,Primary Drug Name,rxcui:2625882,ADAGRASIB,True,False,True,RxNorm,20240401,2022.0,KRAS G12C,Small molecule inhibitor,KRAS G12C inhibitor
Vopratelimab,Primary Drug Name,ncit:C129876,VOPRATELIMAB,False,False,False,NCIt,24.02d,,,,
Frangula purshiana bark extract,Primary Drug Name,rxcui:1350209,FRANGULA PURSHIANA BARK EXTRACT,True,False,False,RxNorm,20240401,,,,
Veliflapon,Primary Drug Name,ncit:C152848,VELIFLAPON,False,False,False,NCIt,24.02d,,,,
Carperitide,Primary Drug Name,ncit:C169829,CARPERITIDE,False,False,False,NCIt,24.02d,,,,
Erfonrilimab,Primary Drug Name,ncit:C157632,ERFONRILIMAB,False,False,False,NCIt,24.02d,,,,
Glenzocimab,Primary Drug Name,ncit:C166827,GLENZOCIMAB,False,False,False,NCIt,24.02d,,,,
hylan G-F 20,Primary Drug Name,rxcui:284637,HYLAN G-F 20,True,False,False,RxNorm,20240401,,,,
gadopiclenol,Primary Drug Name,rxcui:2618720,GADOPICLENOL,True,False,False,RxNorm,20240401,,,,
brilliant blue G,Primary Drug Name,rxcui:1998867,BRILLIANT BLUE G,True,False,False,RxNorm,20240401,,,,
Idazoxan,Primary Drug Name,ncit:C170049,IDAZOXAN,False,False,False,NCIt,24.02d,,,,
Zalifrelimab,Primary Drug Name,ncit:C126113,ZALIFRELIMAB,False,False,False,NCIt,24.02d,,,,
Pegadricase,Primary Drug Name,ncit:C166797,PEGADRICASE,False,False,False,NCIt,24.02d,,,,
Domvanalimab,Primary Drug Name,ncit:C162875,DOMVANALIMAB,False,False,False,NCIt,24.02d,,,,
metrizamide,Primary Drug Name,rxcui:6920,METRIZAMIDE,True,False,False,RxNorm,20240401,,,,
Leriglitazone,Primary Drug Name,ncit:C170108,LERIGLITAZONE,False,False,False,NCIt,24.02d,,,,
pirtobrutinib,Primary Drug Name,rxcui:2629338,PIRTOBRUTINIB,True,False,False,RxNorm,20240401,,,,
Valopicitabine,Primary Drug Name,ncit:C66649,VALOPICITABINE,False,False,False,NCIt,24.02d,,,,
Nipocalimab,Primary Drug Name,ncit:C170891,NIPOCALIMAB,False,False,False,NCIt,24.02d,,,,
Quavonlimab,Primary Drug Name,ncit:C150679,QUAVONLIMAB,False,False,False,NCIt,24.02d,,,,
Etigilimab,Primary Drug Name,ncit:C142821,ETIGILIMAB,False,False,False,NCIt,24.02d,,,,
Posdinemab,Primary Drug Name,ncit:C188522,POSDINEMAB,False,False,False,NCIt,24.02d,,,,
Runcaciguat,Primary Drug Name,ncit:C166842,RUNCACIGUAT,False,False,False,NCIt,24.02d,,,,
xenon-133,Primary Drug Name,rxcui:259282,XENON-133,True,False,False,RxNorm,20240401,,,,
copper oxodotreotide CU-64,Primary Drug Name,rxcui:2396442,COPPER OXODOTREOTIDE CU-64,True,False,False,RxNorm,20240401,,,,
florbetaben f-18,Primary Drug Name,rxcui:1492940,FLORBETABEN F-18,True,False,False,RxNorm,20240401,,,,
trichlorfon,Primary Drug Name,rxcui:1000581,TRICHLORFON,True,False,False,RxNorm,20240401,,,,
Emeramide,Primary Drug Name,ncit:C166785,EMERAMIDE,False,False,False,NCIt,24.02d,,,,
spesolimab,Primary Drug Name,rxcui:2610417,SPESOLIMAB,True,False,False,RxNorm,20240401,,,,
Trastuzumab Duocarmazine,Primary Drug Name,ncit:C118674,TRASTUZUMAB DUOCARMAZINE,False,False,False,NCIt,24.02d,,,,
Albaconazole,Primary Drug Name,ncit:C72952,ALBACONAZOLE,False,False,False,NCIt,24.02d,,,,
Fepixnebart,Primary Drug Name,ncit:C188574,FEPIXNEBART,False,False,False,NCIt,24.02d,,,,
Parnaparin Sodium,Primary Drug Name,ncit:C132777,PARNAPARIN SODIUM,False,False,False,NCIt,24.02d,,,,
Abelacimab,Primary Drug Name,ncit:C169755,ABELACIMAB,False,False,False,NCIt,24.02d,,,,
Edralbrutinib,Primary Drug Name,ncit:C175775,EDRALBRUTINIB,False,False,False,NCIt,24.02d,,,,
Zalunfiban,Primary Drug Name,ncit:C180665,ZALUNFIBAN,False,False,False,NCIt,24.02d,,,,
Pumosetrag,Primary Drug Name,ncit:C84126,PUMOSETRAG,False,False,False,NCIt,24.02d,,,,
Iboctadekin,Primary Drug Name,ncit:C1680,IBOCTADEKIN,False,False,False,NCIt,24.02d,,,,
Astegolimab,Primary Drug Name,ncit:C171824,ASTEGOLIMAB,False,False,False,NCIt,24.02d,,,,
Cefilavancin,Primary Drug Name,ncit:C169833,CEFILAVANCIN,False,False,False,NCIt,24.02d,,,,
Vunakizumab,Primary Drug Name,ncit:C152923,VUNAKIZUMAB,False,False,False,NCIt,24.02d,,,,
Zansecimab,Primary Drug Name,ncit:C177075,ZANSECIMAB,False,False,False,NCIt,24.02d,,,,
Socazolimab,Primary Drug Name,ncit:C162504,SOCAZOLIMAB,False,False,False,NCIt,24.02d,,,,
Pelacarsen,Primary Drug Name,ncit:C174676,PELACARSEN,False,False,False,NCIt,24.02d,,,,
tirilazad,Primary Drug Name,rxcui:72467,TIRILAZAD,False,False,False,RxNorm,20240401,,,,
azosemide,Primary Drug Name,rxcui:18651,AZOSEMIDE,False,False,False,RxNorm,20240401,,,,
sodium ferric gluconate complex,Primary Drug Name,rxcui:261435,SODIUM FERRIC GLUCONATE COMPLEX,True,False,False,RxNorm,20240401,,,,
Trazpiroben,Primary Drug Name,ncit:C171664,TRAZPIROBEN,False,False,False,NCIt,24.02d,,,,
Insulin Tregopil,Primary Drug Name,ncit:C166701,INSULIN TREGOPIL,False,False,False,NCIt,24.02d,,,,
Irsenontrine,Primary Drug Name,ncit:C179092,IRSENONTRINE,False,False,False,NCIt,24.02d,,,,
Giloralimab,Primary Drug Name,ncit:C139553,GILORALIMAB,False,False,False,NCIt,24.02d,,,,
Siremadlin,Primary Drug Name,ncit:C116325,SIREMADLIN,False,False,False,NCIt,24.02d,,,,
Elinzanetant,Primary Drug Name,ncit:C174774,ELINZANETANT,False,False,False,NCIt,24.02d,,,,
Macozinone,Primary Drug Name,ncit:C174599,MACOZINONE,False,False,False,NCIt,24.02d,,,,
Iron Isomaltoside 1000,Primary Drug Name,ncit:C92584,IRON ISOMALTOSIDE 1000,False,False,False,NCIt,24.02d,,,,
iomeprol,Primary Drug Name,rxcui:2606484,IOMEPROL,True,False,False,RxNorm,20240401,,,,
Lazertinib,Primary Drug Name,ncit:C148147,LAZERTINIB,False,False,False,NCIt,24.02d,,,,
Ulotaront,Primary Drug Name,ncit:C179130,ULOTARONT,False,False,False,NCIt,24.02d,,,,
Psilocybine,Primary Drug Name,ncit:C62529,PSILOCYBINE,False,False,False,NCIt,24.02d,,,,
Milvexian,Primary Drug Name,ncit:C175138,MILVEXIAN,False,False,False,NCIt,24.02d,,,,
Masupirdine,Primary Drug Name,ncit:C175121,MASUPIRDINE,False,False,False,NCIt,24.02d,,,,
mycophenolate sodium,Primary Drug Name,rxcui:408142,MYCOPHENOLATE SODIUM,True,False,False,RxNorm,20240401,,,,
Nimustine,Primary Drug Name,ncit:C693,NIMUSTINE,False,False,False,NCIt,24.02d,,,,
technetium Tc 99m tilmanocept,Primary Drug Name,rxcui:1373391,TECHNETIUM TC 99M TILMANOCEPT,True,False,False,RxNorm,20240401,,,,
pafolacianine sodium,Primary Drug Name,rxcui:2586858,PAFOLACIANINE SODIUM,True,False,False,RxNorm,20240401,,,,
Rovatirelin,Primary Drug Name,ncit:C152262,ROVATIRELIN,False,False,False,NCIt,24.02d,,,,
Trenonacog Alfa,Primary Drug Name,ncit:C152727,TRENONACOG ALFA,False,False,False,NCIt,24.02d,,,,
Cofirasersen,Primary Drug Name,ncit:C179078,COFIRASERSEN,False,False,False,NCIt,24.02d,,,,
Surotomycin,Primary Drug Name,ncit:C152480,SUROTOMYCIN,False,False,False,NCIt,24.02d,,,,
Rovazolac,Primary Drug Name,ncit:C152263,ROVAZOLAC,False,False,False,NCIt,24.02d,,,,
Evorpacept,Primary Drug Name,ncit:C132851,EVORPACEPT,False,False,False,NCIt,24.02d,,,,
2-octyl cyanoacrylate,Primary Drug Name,rxcui:2533837,2-OCTYL CYANOACRYLATE,False,False,False,RxNorm,20240401,,,,
hetastarch,Primary Drug Name,rxcui:5531,HETASTARCH,True,False,False,RxNorm,20240401,,,,
pafolacianine,Primary Drug Name,rxcui:2586857,PAFOLACIANINE,True,False,False,RxNorm,20240401,,,,
Pimurutamab,Primary Drug Name,ncit:C163981,PIMURUTAMAB,False,False,False,NCIt,24.02d,,,,
Navocaftor,Primary Drug Name,ncit:C174930,NAVOCAFTOR,False,False,False,NCIt,24.02d,,,,
Eflepedocokin Alfa,Primary Drug Name,ncit:C141419,EFLEPEDOCOKIN ALFA,False,False,False,NCIt,24.02d,,,,
Setanaxib,Primary Drug Name,ncit:C166721,SETANAXIB,False,False,False,NCIt,24.02d,,,,
Cibinetide,Primary Drug Name,ncit:C171683,CIBINETIDE,False,False,False,NCIt,24.02d,,,,
phloroglucinol,Primary Drug Name,rxcui:8196,PHLOROGLUCINOL,True,False,False,RxNorm,20240401,,,,
Bentracimab,Primary Drug Name,ncit:C175057,BENTRACIMAB,False,False,False,NCIt,24.02d,,,,
ornidazole,Primary Drug Name,rxcui:7701,ORNIDAZOLE,True,False,False,RxNorm,20240401,,,,
ANTHRAX VACCINE ABSORBED,Primary Name,chembl:CHEMBL2108573,ANTHRAX VACCINE ABSORBED,False,False,False,ChEMBL,33,,,,
Aldumastat,Primary Drug Name,ncit:C175739,ALDUMASTAT,False,False,False,NCIt,24.02d,,,,
Trimegestone,Primary Drug Name,ncit:C152746,TRIMEGESTONE,False,False,False,NCIt,24.02d,,,,
nomegestrol acetate,Primary Drug Name,rxcui:53744,NOMEGESTROL ACETATE,False,False,False,RxNorm,20240401,,,,
oteseconazole,Primary Drug Name,rxcui:2602577,OTESECONAZOLE,True,False,False,RxNorm,20240401,,,,
Rabies Vaccine,Primary Drug Name,ncit:C198514,RABIES VACCINE,False,False,False,NCIt,24.02d,,,,
Regramostim,Primary Drug Name,ncit:C170366,REGRAMOSTIM,False,False,False,NCIt,24.02d,,,,
Eptacog Alfa Pegol (Activated),Primary Drug Name,ncit:C166689,EPTACOG ALFA PEGOL (ACTIVATED),False,False,False,NCIt,24.02d,,,,
Depemokimab,Primary Drug Name,ncit:C175768,DEPEMOKIMAB,False,False,False,NCIt,24.02d,,,,
Abdavomeran,Primary Drug Name,ncit:C173052,ABDAVOMERAN,False,False,False,NCIt,24.02d,,,,
Avasopasem Manganese,Primary Drug Name,ncit:C169797,AVASOPASEM MANGANESE,False,False,False,NCIt,24.02d,,,,
Nepadutant,Primary Drug Name,ncit:C84001,NEPADUTANT,False,False,False,NCIt,24.02d,,,,
AZD7325,Primary Name,iuphar.ligand:7712,AZD7325,False,False,False,ChEMBL,33,,,,
efmoroctocog alfa,Primary Drug Name,rxcui:1543095,EFMOROCTOCOG ALFA,True,False,False,RxNorm,20240401,,,,
Fonadelpar,Primary Drug Name,ncit:C170003,FONADELPAR,False,False,False,NCIt,24.02d,,,,
Fexuprazan,Primary Drug Name,ncit:C171876,FEXUPRAZAN,False,False,False,NCIt,24.02d,,,,
Sapablursen,Primary Drug Name,ncit:C179118,SAPABLURSEN,False,False,False,NCIt,24.02d,,,,
Nezulcitinib,Primary Drug Name,ncit:C177760,NEZULCITINIB,False,False,False,NCIt,24.02d,,,,
CX-024414,Primary Name,chembl:CHEMBL4650491,CX-024414,False,False,False,ChEMBL,33,,,,
fingolimod lauryl sulfate,Primary Drug Name,rxcui:2610292,FINGOLIMOD LAURYL SULFATE,True,False,False,RxNorm,20240401,,,,
taurursodiol,Primary Drug Name,rxcui:2613950,TAURURSODIOL,True,False,False,RxNorm,20240401,,,,
Alisertib Sodium,Primary Drug Name,ncit:C142912,ALISERTIB SODIUM,False,False,True,NCIt,24.02d,,,,
ENMD 2076,Primary Name,iuphar.ligand:7885,ENMD-2076,False,False,True,ClearityFoundationClinicalTrial,15-Jun-13,,,,
metformin hydrochloride,Primary Drug Name,rxcui:235743,METFORMIN HYDROCHLORIDE,True,False,True,RxNorm,20240401,,,,
PENTETATE CALCIUM TRISODIUM YB 169,Primary Name,chembl:CHEMBL1200698,PENTETATE CALCIUM TRISODIUM YB 169,True,False,False,ChEMBL,33,,,,
peginterferon alfa-2b,Primary Drug Name,rxcui:253453,PEGINTERFERON ALFA-2B,True,False,True,RxNorm,20240401,,,,
interleukin-11,Primary Drug Name,rxcui:1311380,INTERLEUKIN-11,True,False,False,RxNorm,20240401,,,,
insulin glargine-yfgn,Primary Drug Name,rxcui:2563969,INSULIN GLARGINE-YFGN,True,False,False,RxNorm,20240401,,,,
Tetrahydrofolic acid,Primary Name,drugbank:DB00116,TETRAHYDROFOLIC ACID,False,False,False,DrugBank,5.1.12,,,,
cystine,Primary Drug Name,rxcui:3036,CYSTINE,False,False,False,RxNorm,20240401,,,,
leucine,Primary Drug Name,rxcui:6308,LEUCINE,True,False,False,RxNorm,20240401,,,,
ergocalciferol,Primary Drug Name,rxcui:4018,ERGOCALCIFEROL,True,False,False,RxNorm,20240401,,,,
NADH,Primary Drug Name,rxcui:7222,NADH,False,False,False,RxNorm,20240401,,,,
diflorasone diacetate,Primary Drug Name,rxcui:23033,DIFLORASONE DIACETATE,True,False,False,RxNorm,20240401,,,,
cefotiam,Primary Drug Name,rxcui:2188,CEFOTIAM,False,False,False,RxNorm,20240401,,,,
methysergide,Primary Drug Name,rxcui:6911,METHYSERGIDE,True,False,False,RxNorm,20240401,,,,
pamidronate,Primary Drug Name,rxcui:11473,PAMIDRONATE,True,False,False,RxNorm,20240401,,,,
talbutal,Primary Drug Name,rxcui:89810,TALBUTAL,True,False,False,RxNorm,20240401,,,,
capreomycin,Primary Drug Name,rxcui:78903,CAPREOMYCIN,True,False,False,RxNorm,20240401,,,,
mefloquine,Primary Drug Name,rxcui:6694,MEFLOQUINE,True,False,False,RxNorm,20240401,,,,
doxylamine,Primary Drug Name,rxcui:3642,DOXYLAMINE,True,False,False,RxNorm,20240401,,,,
norepinephrine,Primary Drug Name,rxcui:7512,NOREPINEPHRINE,True,False,False,RxNorm,20240401,,,,
eszopiclone,Primary Drug Name,rxcui:461016,ESZOPICLONE,True,False,False,RxNorm,20240401,,,,
penicillin V,Primary Drug Name,rxcui:7984,PENICILLIN V,True,False,False,RxNorm,20240401,,,,
hyoscyamine,Primary Drug Name,rxcui:153970,HYOSCYAMINE,True,False,False,RxNorm,20240401,,,,
nitric oxide,Primary Drug Name,rxcui:7442,NITRIC OXIDE,True,False,False,RxNorm,20240401,,,,
acitretin,Primary Drug Name,rxcui:16818,ACITRETIN,True,False,False,RxNorm,20240401,,,,
methscopolamine bromide,Primary Drug Name,rxcui:56092,METHSCOPOLAMINE BROMIDE,True,False,False,RxNorm,20240401,,,,
sotalol,Primary Drug Name,rxcui:9947,SOTALOL,True,False,False,RxNorm,20240401,,,,
trandolapril,Primary Drug Name,rxcui:38454,TRANDOLAPRIL,True,False,False,RxNorm,20240401,,,,
tolnaftate,Primary Drug Name,rxcui:10637,TOLNAFTATE,True,False,False,RxNorm,20240401,,,,
"(3R)-4-(p-toluenesulfonyl)-1,4-thiazane-3-carboxylicacid-L-phenylalanine ethyl ester",Primary Name,drugbank:DB01712,"(3R)-4-(P-TOLUENESULFONYL)-1,4-THIAZANE-3-CARBOXYLICACID-L-PHENYLALANINE ETHYL ESTER",False,False,False,DrugBank,5.1.12,,,,
lercanidipine,Primary Drug Name,rxcui:135056,LERCANIDIPINE,True,False,False,RxNorm,20240401,,,,
foscarnet,Primary Drug Name,rxcui:33562,FOSCARNET,True,False,False,RxNorm,20240401,,,,
levocarnitine,Primary Drug Name,rxcui:42955,LEVOCARNITINE,True,False,False,RxNorm,20240401,,,,
paramethadione,Primary Drug Name,rxcui:32894,PARAMETHADIONE,True,False,False,RxNorm,20240401,,,,
clorazepate,Primary Drug Name,rxcui:2353,CLORAZEPATE,True,False,False,RxNorm,20240401,,,,
dexmedetomidine hydrochloride,Primary Drug Name,rxcui:228054,DEXMEDETOMIDINE HYDROCHLORIDE,True,False,False,RxNorm,20240401,,,,
gonadorelin,Primary Drug Name,rxcui:6384,GONADORELIN,True,False,False,RxNorm,20240401,,,,
2-aminophenol,Primary Drug Name,rxcui:1740241,2-AMINOPHENOL,False,False,False,RxNorm,20240401,,,,
dyclonine,Primary Drug Name,rxcui:23744,DYCLONINE,True,False,False,RxNorm,20240401,,,,
flurazepam,Primary Drug Name,rxcui:4501,FLURAZEPAM,True,False,False,RxNorm,20240401,,,,
tizanidine hydrochloride,Primary Drug Name,rxcui:236460,TIZANIDINE HYDROCHLORIDE,True,False,False,RxNorm,20240401,,,,
sufentanil,Primary Drug Name,rxcui:56795,SUFENTANIL,True,False,False,RxNorm,20240401,,,,
oxacillin,Primary Drug Name,rxcui:7773,OXACILLIN,True,False,False,RxNorm,20240401,,,,
Acetoacetic acid,Primary Name,drugbank:DB01762,ACETOACETIC ACID,False,False,False,DrugBank,5.1.12,,,,
atracurium besylate,Primary Drug Name,rxcui:1219,ATRACURIUM BESYLATE,True,False,False,RxNorm,20240401,,,,
tranylcypromine,Primary Drug Name,rxcui:10734,TRANYLCYPROMINE,True,False,False,RxNorm,20240401,,,,
tetracycline,Primary Drug Name,rxcui:10395,TETRACYCLINE,True,False,False,RxNorm,20240401,,,,
hydroflumethiazide,Primary Drug Name,rxcui:5495,HYDROFLUMETHIAZIDE,True,False,False,RxNorm,20240401,,,,
Metacresol,Primary Drug Name,drugbank:DB01776,M-CRESOL,False,False,False,ChemIDplus,20230222,,,,
cryptenamine,Primary Drug Name,rxcui:42618,CRYPTENAMINE,False,False,False,RxNorm,20240401,,,,
bitolterol,Primary Drug Name,rxcui:19499,BITOLTEROL,False,False,False,RxNorm,20240401,,,,
spectinomycin,Primary Drug Name,rxcui:270,SPECTINOMYCIN,False,False,False,RxNorm,20240401,,,,
tipranavir,Primary Drug Name,rxcui:190548,TIPRANAVIR,True,False,False,RxNorm,20240401,,,,
salicylic acid,Primary Drug Name,rxcui:9525,SALICYLIC ACID,True,False,False,RxNorm,20240401,,,,
cyclopentolate,Primary Drug Name,rxcui:3001,CYCLOPENTOLATE,True,False,False,RxNorm,20240401,,,,
ketoconazole,Primary Drug Name,rxcui:6135,KETOCONAZOLE,True,False,False,RxNorm,20240401,,,,
probenecid,Primary Drug Name,rxcui:8698,PROBENECID,True,False,False,RxNorm,20240401,,,,
cefditoren pivoxil,Primary Drug Name,rxcui:72611,CEFDITOREN PIVOXIL,True,False,False,RxNorm,20240401,,,,
cloxacillin,Primary Drug Name,rxcui:2625,CLOXACILLIN,False,False,False,RxNorm,20240401,,,,
sertaconazole,Primary Drug Name,rxcui:36435,SERTACONAZOLE,True,False,False,RxNorm,20240401,,,,
calcium chloride anhydrous,Primary Drug Name,rxcui:1667640,CALCIUM CHLORIDE ANHYDROUS,True,False,False,RxNorm,20240401,,,,
cilostazol,Primary Drug Name,rxcui:21107,CILOSTAZOL,True,False,False,RxNorm,20240401,,,,
4-Hydroxy-3-Methyl Butyl Diphosphate,Primary Name,drugbank:DB01799,4-HYDROXY-3-METHYL BUTYL DIPHOSPHATE,False,False,False,DrugBank,5.1.12,,,,
moclobemide,Primary Drug Name,rxcui:30121,MOCLOBEMIDE,True,False,False,RxNorm,20240401,,,,
estramustine,Primary Drug Name,rxcui:4089,ESTRAMUSTINE,True,False,False,RxNorm,20240401,,,,
telbivudine,Primary Drug Name,rxcui:474128,TELBIVUDINE,True,False,False,RxNorm,20240401,,,,
sulfacytine,Primary Drug Name,rxcui:78902,SULFACYTINE,True,False,False,RxNorm,20240401,,,,
fosamprenavir,Primary Drug Name,rxcui:358262,FOSAMPRENAVIR,True,False,False,RxNorm,20240401,,,,
digitoxin,Primary Drug Name,rxcui:3403,DIGITOXIN,True,False,False,RxNorm,20240401,,,,
cefepime,Primary Drug Name,rxcui:20481,CEFEPIME,True,False,False,RxNorm,20240401,,,,
Formebolone,Primary Drug Name,ncit:C65751,FORMEBOLONE,False,False,False,NCIt,24.02d,,,,
cilastatin,Primary Drug Name,rxcui:2540,CILASTATIN,True,False,False,RxNorm,20240401,,,,
bacampicillin,Primary Drug Name,rxcui:18687,BACAMPICILLIN,False,False,False,RxNorm,20240401,,,,
methicillin,Primary Drug Name,rxcui:2181306,METHICILLIN,False,False,False,RxNorm,20240401,,,,
"3,6-dihydroxy-xanthene-9-propionic acid",Primary Name,drugbank:DB01644,"3,6-DIHYDROXY-XANTHENE-9-PROPIONIC ACID",False,False,False,DrugBank,5.1.12,,,,
N-acetylmethionine,Primary Drug Name,rxcui:1426463,N-ACETYLMETHIONINE,False,False,False,RxNorm,20240401,,,,
cetrimonium,Primary Drug Name,rxcui:20614,CETRIMONIUM,False,False,False,RxNorm,20240401,,,,
L-Phospholactate,Primary Name,drugbank:DB01733,L-PHOSPHOLACTATE,False,False,False,DrugBank,5.1.12,,,,
propylene glycol,Primary Drug Name,rxcui:34693,PROPYLENE GLYCOL,True,False,False,RxNorm,20240401,,,,
Sucrosofate,Primary Drug Name,drugbank:DB01901,SUCROSOFATE,False,False,False,ChemIDplus,20230222,,,,
"2,4-Dihydroxy-3,3-Dimethyl-Butyrate",Primary Name,drugbank:DB01930,"2,4-DIHYDROXY-3,3-DIMETHYL-BUTYRATE",False,False,False,DrugBank,5.1.12,,,,
taurine,Primary Drug Name,rxcui:10337,TAURINE,True,False,False,RxNorm,20240401,,,,
"7,9-Dimethylguanine",Primary Name,drugbank:DB01978,"7,9-DIMETHYLGUANINE",False,False,False,DrugBank,5.1.12,,,,
"5-(Aminomethyl)-6-(2,4-Dichlorophenyl)-2-(3,5-Dimethoxyphenyl)Pyrimidin-4-Amine",Primary Name,drugbank:DB02004,"5-(AMINOMETHYL)-6-(2,4-DICHLOROPHENYL)-2-(3,5-DIMETHOXYPHENYL)PYRIMIDIN-4-AMINE",False,False,False,DrugBank,5.1.12,,,,
