device_id,device_name,platform_type,specimen_types,gene,drug
cdx:THERASCREENPIK3:PIK3CA:ALPELISIBFULVES,therascreen PIK3CA RGQ PCR Kit  (QIAGEN GmbH),PCR,FFPE;cfDNA from plasma,PIK3CA,Alpelisib+Fulvestrant
cdx:THXIDBRAFKITBIO:BRAF:TRAMETINIB,THXID BRAF Kit  (bioMérieux Inc.),PCR,FFPE,BRAF,Trametinib
cdx:THXIDBRAFKITBIO:BRAF:DABRAFENIB,THXID BRAF Kit  (bioMérieux Inc.),PCR,FFPE,BRAF,Dabrafenib
cdx:THXIDBRAFKITBIO:BRAF:ENCORAFENIBBINI,THXID BRAF Kit  (bioMérieux Inc.),PCR,FFPE,BRAF,Encorafenib+Binimetinib
cdx:TRUSIGHTONCOLOG:NTRK1:LAROTRECTINIB,"TruSight Oncology Comprehensive (Illumina, Inc.)",NGS,FFPE,NTRK1,Larotrectinib
cdx:TRUSIGHTONCOLOG:NTRK2:LAROTRECTINIB,"TruSight Oncology Comprehensive (Illumina, Inc.)",NGS,FFPE,NTRK2,Larotrectinib
cdx:TRUSIGHTONCOLOG:NTRK3:SELPERCATINIB,"TruSight Oncology Comprehensive (Illumina, Inc.)",NGS,FFPE,NTRK3,Selpercatinib
cdx:TRUSIGHTONCOLOG:RET:SELPERCATINIB,"TruSight Oncology Comprehensive (Illumina, Inc.)",NGS,FFPE,RET,Selpercatinib
cdx:MICANCERSEEKMCS:BRAF:TRAMETINIB,MI Cancer Seek (MCS) (Caris Life Sciences),NGS,FFPE,BRAF,Trametinib
cdx:MICANCERSEEKMCS:KRAS:PANITUMUMAB,MI Cancer Seek (MCS) (Caris Life Sciences),NGS,FFPE,KRAS,Panitumumab
cdx:MICANCERSEEKMCS:NRAS:PANITUMUMAB,MI Cancer Seek (MCS) (Caris Life Sciences),NGS,FFPE,NRAS,Panitumumab
cdx:MICANCERSEEKMCS:OTHERBIOMARKERS:PEMBROLIZUMAB,MI Cancer Seek (MCS) (Caris Life Sciences),NGS,FFPE,Other Biomarkers,Pembrolizumab
cdx:MICANCERSEEKMCS:OTHERBIOMARKERS:DOSTARLIMAB,MI Cancer Seek (MCS) (Caris Life Sciences),NGS,FFPE,Other Biomarkers,Dostarlimab
cdx:MICANCERSEEKMCS:PIK3CA:ALPELISIB,MI Cancer Seek (MCS) (Caris Life Sciences),NGS,FFPE,PIK3CA,Alpelisib
cdx:MICANCERSEEKMCS:BRAF:ENCORAFENIBCETU,MI Cancer Seek (MCS) (Caris Life Sciences),NGS,FFPE,BRAF,Encorafenib+Cetuximab
